#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Publication Source	Organism ID Interactor A	Organism ID Interactor B	Throughput	Score	Modification	Qualifications	Tags	Source Database	SWISS-PROT Accessions Interactor A	TREMBL Accessions Interactor A	REFSEQ Accessions Interactor A	SWISS-PROT Accessions Interactor B	TREMBL Accessions Interactor B	REFSEQ Accessions Interactor B	Ontology Term IDs	Ontology Term Names	Ontology Term Categories	Ontology Term Qualifier IDs	Ontology Term Qualifier Names	Ontology Term Types	Organism Name Interactor A	Organism Name Interactor B
281188	51529	29882	119591	118937	HSPC214	RP11-350O14.5	ANAPC11	ANAPC2	APC11|Apc11p	APC2	Reconstituted Complex	physical	Tang Z (2001)	PUBMED:11739784	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q9NYG5	A0A087X1B5|A0A024R8S1	NP_001276346|NP_001276347|NP_001276344|NP_001276345|NP_001276343|NP_001276348|NP_001276349|NP_001002248|NP_001002249|NP_001002246|NP_001002247|NP_001002244|NP_001002245|NP_057560	Q9UJX6	-	NP_037498	-	-	-	-	-	-	Homo sapiens	Homo sapiens
281189	29882	51529	118937	119591	RP11-350O14.5	HSPC214	ANAPC2	ANAPC11	APC2	APC11|Apc11p	Reconstituted Complex	physical	Tang Z (2001)	PUBMED:11739784	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q9UJX6	-	NP_037498	Q9NYG5	A0A087X1B5|A0A024R8S1	NP_001276346|NP_001276347|NP_001276344|NP_001276345|NP_001276343|NP_001276348|NP_001276349|NP_001002248|NP_001002249|NP_001002246|NP_001002247|NP_001002244|NP_001002245|NP_057560	-	-	-	-	-	-	Homo sapiens	Homo sapiens
281190	29882	11065	118937	116249	RP11-350O14.5	RP3-447F3.1	ANAPC2	UBE2C	APC2	UBCH10|dJ447F3.2	Reconstituted Complex	physical	Tang Z (2001)	PUBMED:11739784	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q9UJX6	-	NP_037498	O00762	Q5TZN3|A0A087WVK1	NP_861517|NP_861516|NP_861515|NP_001268671|NP_001268670|NP_008950	-	-	-	-	-	-	Homo sapiens	Homo sapiens
288346	64682	29882	122229	118937	-	RP11-350O14.5	ANAPC1	ANAPC2	APC1|MCPR|TSG24	APC2	Co-purification	physical	Sumara I (2000)	PUBMED:11076961	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q9H1A4	-	NP_073153	Q9UJX6	-	NP_037498	-	-	-	-	-	-	Homo sapiens	Homo sapiens
327941	51529	29882	119591	118937	HSPC214	RP11-350O14.5	ANAPC11	ANAPC2	APC11|Apc11p	APC2	Two-hybrid	physical	Ohta T (1999)	PUBMED:10230407	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q9NYG5	A0A087X1B5|A0A024R8S1	NP_001276346|NP_001276347|NP_001276344|NP_001276345|NP_001276343|NP_001276348|NP_001276349|NP_001002248|NP_001002249|NP_001002246|NP_001002247|NP_001002244|NP_001002245|NP_057560	Q9UJX6	-	NP_037498	-	-	-	-	-	-	Homo sapiens	Homo sapiens
428805	11065	29882	116249	118937	RP3-447F3.1	RP11-350O14.5	UBE2C	ANAPC2	UBCH10|dJ447F3.2	APC2	Co-fractionation	physical	Reddy SK (2007)	PUBMED:17443186	9606	9606	Low Throughput	-	-	-	-	BIOGRID	O00762	Q5TZN3|A0A087WVK1	NP_861517|NP_861516|NP_861515|NP_001268671|NP_001268670|NP_008950	Q9UJX6	-	NP_037498	-	-	-	-	-	-	Homo sapiens	Homo sapiens
445812	29882	2033	118937	108347	RP11-350O14.5	RP1-85F18.1	ANAPC2	EP300	APC2	KAT3B|RSTS2|p300	Affinity Capture-Western	physical	Turnell AS (2005)	PUBMED:16319895	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q9UJX6	-	NP_037498	Q09472	Q7Z6C1	NP_001349772|NP_001420	-	-	-	-	-	-	Homo sapiens	Homo sapiens
445813	29882	1387	118937	107777	RP11-350O14.5	-	ANAPC2	CREBBP	APC2	CBP|KAT3A|RSTS	Affinity Capture-Western	physical	Turnell AS (2005)	PUBMED:16319895	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q9UJX6	-	NP_037498	Q92793	-	NP_001073315|NP_004371	-	-	-	-	-	-	Homo sapiens	Homo sapiens
463081	51343	29882	119489	118937	-	RP11-350O14.5	FZR1	ANAPC2	CDC20C|CDH1|FZR|FZR2|HCDH|HCDH1	APC2	Affinity Capture-Western	physical	Stewart S (2005)	PUBMED:16287863	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q9UM11	-	NP_057347|NP_001129669|NP_001129670	Q9UJX6	-	NP_037498	-	-	-	-	-	-	Homo sapiens	Homo sapiens
463083	991	29882	107427	118937	-	RP11-350O14.5	CDC20	ANAPC2	CDC20A|bA276H19.3|p55CDC	APC2	Affinity Capture-Western	physical	Stewart S (2005)	PUBMED:16287863	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q12834	-	NP_001246	Q9UJX6	-	NP_037498	-	-	-	-	-	-	Homo sapiens	Homo sapiens
