#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Publication Source	Organism ID Interactor A	Organism ID Interactor B	Throughput	Score	Modification	Qualifications	Tags	Source Database	SWISS-PROT Accessions Interactor A	TREMBL Accessions Interactor A	REFSEQ Accessions Interactor A	SWISS-PROT Accessions Interactor B	TREMBL Accessions Interactor B	REFSEQ Accessions Interactor B	Ontology Term IDs	Ontology Term Names	Ontology Term Categories	Ontology Term Qualifier IDs	Ontology Term Qualifier Names	Ontology Term Types	Organism Name Interactor A	Organism Name Interactor B
29641	898	8452	107338	114030	-	-	CCNE1	CUL3	CCNE	CUL-3|PHA2E	Two-hybrid	physical	Singer JD (1999)	PUBMED:10500095	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P24864	-	NP_001229	Q13618	B7Z600|A0A024R475	NP_001244127|NP_001244126|NP_003581	-	-	-	-	-	-	Homo sapiens	Homo sapiens
260250	8452	55832	114030	120937	-	-	CUL3	CAND1	CUL-3|PHA2E	TIP120|TIP120A	Affinity Capture-Western	physical	Min KW (2003)	PUBMED:12609982	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q13618	B7Z600|A0A024R475	NP_001244127|NP_001244126|NP_003581	Q86VP6	-	NP_060918|NP_001316604|NP_001316605|NP_001316603	-	-	-	-	-	-	Homo sapiens	Homo sapiens
260255	55832	8452	120937	114030	-	-	CAND1	CUL3	TIP120|TIP120A	CUL-3|PHA2E	Affinity Capture-MS	physical	Min KW (2003)	PUBMED:12609982	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q86VP6	-	NP_060918|NP_001316604|NP_001316605|NP_001316603	Q13618	B7Z600|A0A024R475	NP_001244127|NP_001244126|NP_003581	-	-	-	-	-	-	Homo sapiens	Homo sapiens
280386	8452	898	114030	107338	-	-	CUL3	CCNE1	CUL-3|PHA2E	CCNE	Affinity Capture-Western	physical	Singer JD (1999)	PUBMED:10500095	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q13618	B7Z600|A0A024R475	NP_001244127|NP_001244126|NP_003581	P24864	-	NP_001229	-	-	-	-	-	-	Homo sapiens	Homo sapiens
280387	898	8452	107338	114030	-	-	CCNE1	CUL3	CCNE	CUL-3|PHA2E	Affinity Capture-Western	physical	Singer JD (1999)	PUBMED:10500095	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P24864	-	NP_001229	Q13618	B7Z600|A0A024R475	NP_001244127|NP_001244126|NP_003581	-	-	-	-	-	-	Homo sapiens	Homo sapiens
281444	9978	8452	115301	114030	RP11-554C12.1	-	RBX1	CUL3	BA554C12.1|RNF75|ROC1	CUL-3|PHA2E	Affinity Capture-MS	physical	Dias DC (2002)	PUBMED:12481031	9606	9606	High Throughput	-	-	exogenous expression of bait	-	BIOGRID	P62877	-	NP_055063	Q13618	B7Z600|A0A024R475	NP_001244127|NP_001244126|NP_003581	BTO:0000007	HEK-293 cell	cell line	-	-	-	Homo sapiens	Homo sapiens
305520	8452	56438	114030	207980	-	-	CUL3	Rbx1	CUL-3|PHA2E	1500002P15Rik|AA517855|ROC1	Reconstituted Complex	physical	Kamura T (2001)	PUBMED:11384984	9606	10090	Low Throughput	-	-	-	-	BIOGRID	Q13618	B7Z600|A0A024R475	NP_001244127|NP_001244126|NP_003581	P62878	-	NP_062686	-	-	-	-	-	-	Homo sapiens	Mus musculus
321857	54165	8452	119920	114030	-	-	DCUN1D1	CUL3	DCNL1|DCUN1L1|RP42|SCCRO|SCRO|Tes3	CUL-3|PHA2E	Reconstituted Complex	physical	Kim AY (2008)	PUBMED:18826954	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q96GG9	C9JVE2	NP_065691|NP_001295030	Q13618	B7Z600|A0A024R475	NP_001244127|NP_001244126|NP_003581	-	-	-	-	-	-	Homo sapiens	Homo sapiens
321865	54165	8452	119920	114030	-	-	DCUN1D1	CUL3	DCNL1|DCUN1L1|RP42|SCCRO|SCRO|Tes3	CUL-3|PHA2E	Affinity Capture-Western	physical	Kim AY (2008)	PUBMED:18826954	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q96GG9	C9JVE2	NP_065691|NP_001295030	Q13618	B7Z600|A0A024R475	NP_001244127|NP_001244126|NP_003581	-	-	-	-	-	-	Homo sapiens	Homo sapiens
328063	54442	8452	119958	114030	-	-	KCTD5	CUL3	-	CUL-3|PHA2E	Affinity Capture-Western	physical	Bayon Y (2008)	PUBMED:18573101	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q9NXV2	-	NP_061865	Q13618	B7Z600|A0A024R475	NP_001244127|NP_001244126|NP_003581	-	-	-	-	-	-	Homo sapiens	Homo sapiens
328064	54442	8452	119958	114030	-	-	KCTD5	CUL3	-	CUL-3|PHA2E	Reconstituted Complex	physical	Bayon Y (2008)	PUBMED:18573101	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q9NXV2	-	NP_061865	Q13618	B7Z600|A0A024R475	NP_001244127|NP_001244126|NP_003581	-	-	-	-	-	-	Homo sapiens	Homo sapiens
329693	8452	25841	114030	117367	-	RP1-53C18.4	CUL3	ABTB2	CUL-3|PHA2E	ABTB2A|BTBD22	Reconstituted Complex	physical	Maezawa S (2008)	PUBMED:18429817	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q13618	B7Z600|A0A024R475	NP_001244127|NP_001244126|NP_003581	Q8N961	-	NP_665803	-	-	-	-	-	-	Homo sapiens	Homo sapiens
329694	25841	8452	117367	114030	RP1-53C18.4	-	ABTB2	CUL3	ABTB2A|BTBD22	CUL-3|PHA2E	Affinity Capture-Western	physical	Maezawa S (2008)	PUBMED:18429817	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q8N961	-	NP_665803	Q13618	B7Z600|A0A024R475	NP_001244127|NP_001244126|NP_003581	-	-	-	-	-	-	Homo sapiens	Homo sapiens
329702	8452	25841	114030	117367	-	RP1-53C18.4	CUL3	ABTB2	CUL-3|PHA2E	ABTB2A|BTBD22	Affinity Capture-Western	physical	Maezawa S (2008)	PUBMED:18429817	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q13618	B7Z600|A0A024R475	NP_001244127|NP_001244126|NP_003581	Q8N961	-	NP_665803	-	-	-	-	-	-	Homo sapiens	Homo sapiens
329703	8452	1791	114030	108127	-	-	CUL3	DNTT	CUL-3|PHA2E	TDT	Affinity Capture-Western	physical	Maezawa S (2008)	PUBMED:18429817	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q13618	B7Z600|A0A024R475	NP_001244127|NP_001244126|NP_003581	P04053	-	NP_004079|NP_001017520	-	-	-	-	-	-	Homo sapiens	Homo sapiens
329704	1791	8452	108127	114030	-	-	DNTT	CUL3	TDT	CUL-3|PHA2E	Affinity Capture-Western	physical	Maezawa S (2008)	PUBMED:18429817	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P04053	-	NP_004079|NP_001017520	Q13618	B7Z600|A0A024R475	NP_001244127|NP_001244126|NP_003581	-	-	-	-	-	-	Homo sapiens	Homo sapiens
329725	9817	8452	115156	114030	-	-	KEAP1	CUL3	INrf2|KLHL19	CUL-3|PHA2E	Affinity Capture-Western	physical	Wang XJ (2008)	PUBMED:18417180	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q14145	A0A024R7C0	NP_036421|NP_987096	Q13618	B7Z600|A0A024R475	NP_001244127|NP_001244126|NP_003581	-	-	-	-	-	-	Homo sapiens	Homo sapiens
330066	59349	8452	121890	114030	-	-	KLHL12	CUL3	C3IP1|DKIR	CUL-3|PHA2E	Affinity Capture-Western	physical	Rondou P (2008)	PUBMED:18303015	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q53G59	-	NP_001290038|NP_001289980|NP_067646	Q13618	B7Z600|A0A024R475	NP_001244127|NP_001244126|NP_003581	-	-	-	-	-	-	Homo sapiens	Homo sapiens
330067	8452	59349	114030	121890	-	-	CUL3	KLHL12	CUL-3|PHA2E	C3IP1|DKIR	Affinity Capture-Western	physical	Rondou P (2008)	PUBMED:18303015	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q13618	B7Z600|A0A024R475	NP_001244127|NP_001244126|NP_003581	Q53G59	-	NP_001290038|NP_001289980|NP_067646	-	-	-	-	-	-	Homo sapiens	Homo sapiens
330463	8452	9817	114030	115156	-	-	CUL3	KEAP1	CUL-3|PHA2E	INrf2|KLHL19	Affinity Capture-Western	physical	Rachakonda G (2008)	PUBMED:18251510	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q13618	B7Z600|A0A024R475	NP_001244127|NP_001244126|NP_003581	Q14145	A0A024R7C0	NP_036421|NP_987096	-	-	-	-	-	-	Homo sapiens	Homo sapiens
330464	8452	9817	114030	115156	-	-	CUL3	KEAP1	CUL-3|PHA2E	INrf2|KLHL19	Reconstituted Complex	physical	Rachakonda G (2008)	PUBMED:18251510	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q13618	B7Z600|A0A024R475	NP_001244127|NP_001244126|NP_003581	Q14145	A0A024R7C0	NP_036421|NP_987096	-	-	-	-	-	-	Homo sapiens	Homo sapiens
338346	9817	8452	115156	114030	-	-	KEAP1	CUL3	INrf2|KLHL19	CUL-3|PHA2E	Affinity Capture-Western	physical	Nioi P (2007)	PUBMED:17822677	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q14145	A0A024R7C0	NP_036421|NP_987096	Q13618	B7Z600|A0A024R475	NP_001244127|NP_001244126|NP_003581	-	-	-	-	-	-	Homo sapiens	Homo sapiens
423492	10987	8452	116183	114030	-	-	COPS5	CUL3	CSN5|JAB1|MOV-34|SGN5	CUL-3|PHA2E	Affinity Capture-MS	physical	Sowa ME (2009)	PUBMED:19615732	9606	9606	High Throughput	1.12	-	exogenous expression of bait	-	BIOGRID	Q92905	A0A024R7W9	NP_006828	Q13618	B7Z600|A0A024R475	NP_001244127|NP_001244126|NP_003581	BTO:0000007	HEK-293 cell	cell line	BTO:0000414	epithelial cell	-	Homo sapiens	Homo sapiens
423493	10980	8452	116176	114030	-	-	COPS6	CUL3	CSN6|MOV34-34KD	CUL-3|PHA2E	Affinity Capture-MS	physical	Sowa ME (2009)	PUBMED:19615732	9606	9606	High Throughput	1.14	-	exogenous expression of bait	-	BIOGRID	Q7L5N1	-	NP_006824	Q13618	B7Z600|A0A024R475	NP_001244127|NP_001244126|NP_003581	BTO:0000007	HEK-293 cell	cell line	BTO:0000414	epithelial cell	-	Homo sapiens	Homo sapiens
