#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Publication Source	Organism ID Interactor A	Organism ID Interactor B	Throughput	Score	Modification	Qualifications	Tags	Source Database	SWISS-PROT Accessions Interactor A	TREMBL Accessions Interactor A	REFSEQ Accessions Interactor A	SWISS-PROT Accessions Interactor B	TREMBL Accessions Interactor B	REFSEQ Accessions Interactor B	Ontology Term IDs	Ontology Term Names	Ontology Term Categories	Ontology Term Qualifier IDs	Ontology Term Qualifier Names	Ontology Term Types	Organism Name Interactor A	Organism Name Interactor B
480430	100316904	10294	941018	115582	-	-	SAP25	DNAJA2	-	CPR3|DJ3|DJA2|DNAJ|DNJ3|HIRIP4|PRO3015|RDJ2	Affinity Capture-MS	physical	Shiio Y (2006)	PUBMED:16449650	9606	9606	High Throughput	-	-	-	-	BIOGRID	Q8TEE9	-	NP_001162153	O60884	A0A024R6S1	NP_005871	BTO:0000567	HeLa cell	cell line	DOID:3702	cervical adenocarcinoma	-	Homo sapiens	Homo sapiens
533993	10294	7290	115582	113141	-	-	DNAJA2	HIRA	CPR3|DJ3|DJA2|DNAJ|DNJ3|HIRIP4|PRO3015|RDJ2	DGCR1|TUP1|TUPLE1	Affinity Capture-Western	physical	Ye X (2007)	PUBMED:17242198	9606	9606	Low Throughput	-	-	-	-	BIOGRID	O60884	A0A024R6S1	NP_005871	P54198	-	NP_003316	-	-	-	-	-	-	Homo sapiens	Homo sapiens
533994	10294	5925	115582	111860	-	RP11-174I10.1	DNAJA2	RB1	CPR3|DJ3|DJA2|DNAJ|DNJ3|HIRIP4|PRO3015|RDJ2	OSRC|PPP1R130|RB|p105-Rb|pRb|pp110	Affinity Capture-Western	physical	Ye X (2007)	PUBMED:17242198	9606	9606	Low Throughput	-	-	-	-	BIOGRID	O60884	A0A024R6S1	NP_005871	P06400	A0A024RDV3	NP_000312	-	-	-	-	-	-	Homo sapiens	Homo sapiens
533996	7290	10294	113141	115582	-	-	HIRA	DNAJA2	DGCR1|TUP1|TUPLE1	CPR3|DJ3|DJA2|DNAJ|DNJ3|HIRIP4|PRO3015|RDJ2	Affinity Capture-Western	physical	Ye X (2007)	PUBMED:17242198	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P54198	-	NP_003316	O60884	A0A024R6S1	NP_005871	-	-	-	-	-	-	Homo sapiens	Homo sapiens
533997	5925	10294	111860	115582	RP11-174I10.1	-	RB1	DNAJA2	OSRC|PPP1R130|RB|p105-Rb|pRb|pp110	CPR3|DJ3|DJA2|DNAJ|DNJ3|HIRIP4|PRO3015|RDJ2	Affinity Capture-Western	physical	Ye X (2007)	PUBMED:17242198	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P06400	A0A024RDV3	NP_000312	O60884	A0A024R6S1	NP_005871	-	-	-	-	-	-	Homo sapiens	Homo sapiens
556366	7014	10294	112873	115582	-	-	TERF2	DNAJA2	TRBF2|TRF2	CPR3|DJ3|DJA2|DNAJ|DNJ3|HIRIP4|PRO3015|RDJ2	Affinity Capture-MS	physical	Giannone RJ (2010)	PUBMED:20811636	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q15554	-	NP_005643	O60884	A0A024R6S1	NP_005871	-	-	-	-	-	-	Homo sapiens	Homo sapiens
560892	7316	10294	113164	115582	-	-	UBC	DNAJA2	HMG20	CPR3|DJ3|DJA2|DNAJ|DNJ3|HIRIP4|PRO3015|RDJ2	Affinity Capture-MS	physical	Matsumoto M (2005)	PUBMED:16196087	9606	9606	High Throughput	-	-	#LPPI|Likely protein-protein interaction|native only	-	BIOGRID	P0CG48	-	NP_066289	O60884	A0A024R6S1	NP_005871	BTO:0002181	HEK-293T cell	cell line	-	-	-	Homo sapiens	Homo sapiens
564383	4609	10294	110694	115582	-	-	MYC	DNAJA2	MRTL|MYCC|bHLHe39|c-Myc	CPR3|DJ3|DJA2|DNAJ|DNJ3|HIRIP4|PRO3015|RDJ2	Affinity Capture-MS	physical	Koch HB (2007)	PUBMED:17314511	9606	9606	High Throughput	-	-	-	-	BIOGRID	P01106	-	NP_002458|NP_001341799	O60884	A0A024R6S1	NP_005871	-	-	-	-	-	-	Homo sapiens	Homo sapiens
566917	192670	10294	128178	115582	-	-	AGO4	DNAJA2	EIF2C4	CPR3|DJ3|DJA2|DNAJ|DNJ3|HIRIP4|PRO3015|RDJ2	Affinity Capture-MS	physical	Weinmann L (2009)	PUBMED:19167051	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q9HCK5	-	NP_060099	O60884	A0A024R6S1	NP_005871	BTO:0000007	HEK-293 cell	cell line	-	-	-	Homo sapiens	Homo sapiens
577227	227613	10294	230642	115582	RP23-132N23.7	-	Tubb4b	DNAJA2	4930542G03Rik|Tubb2c|Tubb2c1	CPR3|DJ3|DJA2|DNAJ|DNJ3|HIRIP4|PRO3015|RDJ2	Affinity Capture-MS	physical	Hutchins JR (2010)	PUBMED:20360068	10090	9606	High Throughput	-	-	-	-	BIOGRID	P68372	-	NP_666228	O60884	A0A024R6S1	NP_005871	-	-	-	-	-	-	Mus musculus	Homo sapiens
