#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Publication Source	Organism ID Interactor A	Organism ID Interactor B	Throughput	Score	Modification	Qualifications	Tags	Source Database	SWISS-PROT Accessions Interactor A	TREMBL Accessions Interactor A	REFSEQ Accessions Interactor A	SWISS-PROT Accessions Interactor B	TREMBL Accessions Interactor B	REFSEQ Accessions Interactor B	Ontology Term IDs	Ontology Term Names	Ontology Term Categories	Ontology Term Qualifier IDs	Ontology Term Qualifier Names	Ontology Term Types	Organism Name Interactor A	Organism Name Interactor B
286246	1956	378	108276	106873	-	-	EGFR	ARF4	ERBB|ERBB1|HER1|NISBD2|PIG61|mENA	ARF2	Two-hybrid	physical	Kim SW (2003)	PUBMED:12446727	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P00533	-	NP_001333829|NP_001333828|NP_958440|NP_005219|NP_001333827|NP_001333826|NP_958441|NP_001333870|NP_958439	P18085	-	NP_001651	-	-	-	-	-	-	Homo sapiens	Homo sapiens
286247	1956	378	108276	106873	-	-	EGFR	ARF4	ERBB|ERBB1|HER1|NISBD2|PIG61|mENA	ARF2	Affinity Capture-Western	physical	Kim SW (2003)	PUBMED:12446727	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P00533	-	NP_001333829|NP_001333828|NP_958440|NP_005219|NP_001333827|NP_001333826|NP_958441|NP_001333870|NP_958439	P18085	-	NP_001651	-	-	-	-	-	-	Homo sapiens	Homo sapiens
422932	29086	378	118855	106873	HSPC142	-	BABAM1	ARF4	C19orf62|MERIT40|NBA1	ARF2	Affinity Capture-MS	physical	Sowa ME (2009)	PUBMED:19615732	9606	9606	High Throughput	2.88	-	exogenous expression of bait	-	BIOGRID	Q9NWV8	A0A024R7L2|J3KQS6	NP_001028721|NP_001275686|NP_001275685|NP_054892	P18085	-	NP_001651	BTO:0000007	HEK-293 cell	cell line	BTO:0000414	epithelial cell	-	Homo sapiens	Homo sapiens
564419	4609	378	110694	106873	-	-	MYC	ARF4	MRTL|MYCC|bHLHe39|c-Myc	ARF2	Affinity Capture-MS	physical	Koch HB (2007)	PUBMED:17314511	9606	9606	High Throughput	-	-	-	-	BIOGRID	P01106	-	NP_002458|NP_001341799	P18085	-	NP_001651	-	-	-	-	-	-	Homo sapiens	Homo sapiens
566940	192670	378	128178	106873	-	-	AGO4	ARF4	EIF2C4	ARF2	Affinity Capture-MS	physical	Weinmann L (2009)	PUBMED:19167051	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q9HCK5	-	NP_060099	P18085	-	NP_001651	BTO:0000007	HEK-293 cell	cell line	-	-	-	Homo sapiens	Homo sapiens
576303	12534	378	198624	106873	-	-	Cdk1	ARF4	Cdc2|Cdc2a|p34[CDC2]	ARF2	Affinity Capture-MS	physical	Hutchins JR (2010)	PUBMED:20360068	10090	9606	High Throughput	-	-	-	-	BIOGRID	P11440	-	NP_031685	P18085	-	NP_001651	-	-	-	-	-	-	Mus musculus	Homo sapiens
664074	1994	378	108309	106873	-	-	ELAVL1	ARF4	ELAV1|HUR|Hua|MelG	ARF2	Affinity Capture-RNA	physical	Abdelmohsen K (2009)	PUBMED:19322201	9606	9606	High Throughput	-	-	-	-	BIOGRID	Q15717	-	NP_001410	P18085	-	NP_001651	BTO:0000567	HeLa cell	cell line	DOID:3702	cervical adenocarcinoma	-	Homo sapiens	Homo sapiens
686196	8452	378	114030	106873	-	-	CUL3	ARF4	CUL-3|PHA2E	ARF2	Affinity Capture-MS	physical	Bennett EJ (2010)	PUBMED:21145461	9606	9606	High Throughput	-	-	All data was filtered to a 1% false discovery rate (peptide level) prior to analysis using CompPASS to identify high confidence candidate interacting proteins|TAP-tagged Cul3|exogenous expression of bait	-	BIOGRID	Q13618	B7Z600|A0A024R475	NP_001244127|NP_001244126|NP_003581	P18085	-	NP_001651	BTO:0002181	HEK-293T cell	cell line	-	-	-	Homo sapiens	Homo sapiens
688483	1017	378	107452	106873	-	-	CDK2	ARF4	CDKN2|p33(CDK2)	ARF2	Affinity Capture-MS	physical	Neganova I (2011)	PUBMED:21319273	9606	9606	High Throughput	-	-	figure 6, table S2.	-	BIOGRID	P24941	A0A024RB77|A0A024RB10|B4DDL9|E7ESI2	NP_001789|NP_439892|NP_001277159	P18085	-	NP_001651	BTO:0001086	embryonic stem cell	cell type	-	-	-	Homo sapiens	Homo sapiens
724581	2869	378	109127	106873	RP11-714M16.1	-	GRK5	ARF4	GPRK5	ARF2	Affinity Capture-MS	physical	Wu Z (2012)	PUBMED:22952844	9606	9606	High Throughput	-	-	-	-	BIOGRID	P34947	-	NP_005299	P18085	-	NP_001651	-	-	-	-	-	-	Homo sapiens	Homo sapiens
831288	1386	378	107776	106873	-	-	ATF2	ARF4	CRE-BP1|CREB-2|CREB2|HB16|TREB7	ARF2	Affinity Capture-MS	physical	Lau E (2012)	PUBMED:22304920	9606	9606	High Throughput	-	-	exogenous expression of bait|table 1, figure 2.	-	BIOGRID	P15336	A4D7V5	NP_001243023|NP_001243022|NP_001243021|NP_001871|NP_001243020|NP_001243019	P18085	-	NP_001651	BTO:0002024	squamous cell carcinoma cell line	cell line	DOID:1749	squamous cell carcinoma	-	Homo sapiens	Homo sapiens
861102	1201	378	107612	106873	-	-	CLN3	ARF4	BTS|JNCL	ARF2	Affinity Capture-MS	physical	Scifo E (2013)	PUBMED:23464991	9606	9606	High Throughput	-	-	-	-	BIOGRID	Q13286	B4DFF3|B4DXL3|Q2TA70|A0A024QZB8|B4DMY6	NP_000077|NP_001273034|NP_001273033|NP_001273039|NP_001273038|NP_001035897	P18085	-	NP_001651	-	-	-	-	-	-	Homo sapiens	Homo sapiens
861167	1203	378	107614	106873	-	-	CLN5	ARF4	NCL	ARF2	Affinity Capture-MS	physical	Scifo E (2013)	PUBMED:23464991	9606	9606	High Throughput	-	-	-	-	BIOGRID	O75503	A0A024R644	NP_006484	P18085	-	NP_001651	-	-	-	-	-	-	Homo sapiens	Homo sapiens
891632	378	25898	106873	117406	-	-	ARF4	RCHY1	ARF2	ARNIP|CHIMP|PIRH2|PRO1996|RNF199|ZCHY|ZNF363	Affinity Capture-Western	physical	Wang J (2011)	PUBMED:21988832	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P18085	-	NP_001651	Q96PM5	-	NP_056251|NP_001265468|NP_001265467|NP_001265466|NP_001265465|NP_001009922	-	-	-	-	-	-	Homo sapiens	Homo sapiens
893699	378	25898	106873	117406	-	-	ARF4	RCHY1	ARF2	ARNIP|CHIMP|PIRH2|PRO1996|RNF199|ZCHY|ZNF363	Two-hybrid	physical	Wang J (2011)	PUBMED:21988832	9606	9606	High Throughput	-	-	-	-	BIOGRID	P18085	-	NP_001651	Q96PM5	-	NP_056251|NP_001265468|NP_001265467|NP_001265466|NP_001265465|NP_001009922	-	-	-	-	-	-	Homo sapiens	Homo sapiens
905434	3184	378	109425	106873	-	-	HNRNPD	ARF4	AUF1|AUF1A|HNRPD|P37|hnRNPD0	ARF2	Two-hybrid	physical	Lehner B (2004)	PUBMED:15231747	9606	9606	High Throughput	-	-	-	-	BIOGRID	Q14103	A0A024RDF4|A0A024RDB4|A0A024RDF3	NP_001003810|NP_112737|NP_002129|NP_112738	P18085	-	NP_001651	-	-	-	-	-	-	Homo sapiens	Homo sapiens
912714	26270	378	117654	106873	RP3-330O12.3	-	FBXO6	ARF4	FBG2|FBS2|FBX6|Fbx6b	ARF2	Affinity Capture-MS	physical	Liu B (2012)	PUBMED:22268729	9606	9606	High Throughput	-	-	exogenous expression of bait	-	BIOGRID	Q9NRD1	-	NP_060908	P18085	-	NP_001651	DOID:715|BTO:0000661	T-cell leukemia|JURKAT cell	disease|cell line	-|-	-|-	-|-	Homo sapiens	Homo sapiens
