#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Publication Source	Organism ID Interactor A	Organism ID Interactor B	Throughput	Score	Modification	Qualifications	Tags	Source Database	SWISS-PROT Accessions Interactor A	TREMBL Accessions Interactor A	REFSEQ Accessions Interactor A	SWISS-PROT Accessions Interactor B	TREMBL Accessions Interactor B	REFSEQ Accessions Interactor B	Ontology Term IDs	Ontology Term Names	Ontology Term Categories	Ontology Term Qualifier IDs	Ontology Term Qualifier Names	Ontology Term Types	Organism Name Interactor A	Organism Name Interactor B
119788	7704	8405	113498	113993	-	-	ZBTB16	SPOP	PLZF|ZNF145	BTBD32|TEF2	Two-hybrid	physical	Rual JF (2005)	PUBMED:16189514	9606	9606	High Throughput	-	-	-	-	BIOGRID	Q05516	A0A024R3C6	NP_001018011|NP_005997	O43791	-	NP_001007227|NP_001357659|NP_001007230|NP_001007231|NP_001007229|NP_001007228|NP_001357661|NP_001357660|NP_003554	-	-	-	-	-	-	Homo sapiens	Homo sapiens
120219	8405	151871	113993	127407	-	-	SPOP	DPPA2	BTBD32|TEF2	CT100|ECAT15-2|PESCRG1	Two-hybrid	physical	Rual JF (2005)	PUBMED:16189514	9606	9606	High Throughput	-	-	-	-	BIOGRID	O43791	-	NP_001007227|NP_001357659|NP_001007230|NP_001007231|NP_001007229|NP_001007228|NP_001357661|NP_001357660|NP_003554	Q7Z7J5	-	NP_620170	-	-	-	-	-	-	Homo sapiens	Homo sapiens
121380	6257	8405	112169	113993	DADB-100D22.1	-	RXRB	SPOP	DAUDI6|H-2RIIBP|NR2B2|RCoR-1	BTBD32|TEF2	Two-hybrid	physical	Rual JF (2005)	PUBMED:16189514	9606	9606	High Throughput	-	-	-	-	BIOGRID	P28702	Q5STP9|B7Z7J5	NP_001278918|NP_068811|NP_001257330	O43791	-	NP_001007227|NP_001357659|NP_001007230|NP_001007231|NP_001007229|NP_001007228|NP_001357661|NP_001357660|NP_003554	-	-	-	-	-	-	Homo sapiens	Homo sapiens
121609	1649	8405	108016	113993	-	-	DDIT3	SPOP	CEBPZ|CHOP|CHOP-10|CHOP10|GADD153	BTBD32|TEF2	Two-hybrid	physical	Rual JF (2005)	PUBMED:16189514	9606	9606	High Throughput	-	-	-	-	BIOGRID	P35638	Q53YD1	NP_001181986|NP_001181985|NP_001181984|NP_001181983|NP_001181982|NP_004074	O43791	-	NP_001007227|NP_001357659|NP_001007230|NP_001007231|NP_001007229|NP_001007228|NP_001357661|NP_001357660|NP_003554	-	-	-	-	-	-	Homo sapiens	Homo sapiens
121793	8405	10313	113993	115598	-	-	SPOP	RTN3	BTBD32|TEF2	ASYIP|HAP|NSPL2|NSPLII|RTN3-A1	Two-hybrid	physical	Rual JF (2005)	PUBMED:16189514	9606	9606	High Throughput	-	-	-	-	BIOGRID	O43791	-	NP_001007227|NP_001357659|NP_001007230|NP_001007231|NP_001007229|NP_001007228|NP_001357661|NP_001357660|NP_003554	O95197	A0A024R5C4	NP_958833|NP_958832|NP_958831|NP_001252519|NP_001252520|NP_001252518|NP_006045	-	-	-	-	-	-	Homo sapiens	Homo sapiens
121871	4615	8405	110700	113993	-	-	MYD88	SPOP	MYD88D	BTBD32|TEF2	Two-hybrid	physical	Rual JF (2005)	PUBMED:16189514	9606	9606	High Throughput	-	-	-	-	BIOGRID	Q99836	-	NP_002459|NP_001166039|NP_001166038|NP_001166040|NP_001166037	O43791	-	NP_001007227|NP_001357659|NP_001007230|NP_001007231|NP_001007229|NP_001007228|NP_001357661|NP_001357660|NP_003554	-	-	-	-	-	-	Homo sapiens	Homo sapiens
241770	8405	22933	113993	116593	-	-	SPOP	SIRT2	BTBD32|TEF2	SIR2|SIR2L|SIR2L2	Affinity Capture-MS	physical	Ewing RM (2007)	PUBMED:17353931	9606	9606	High Throughput	0.448	-	Exogenous expression of bait	-	BIOGRID	O43791	-	NP_001007227|NP_001357659|NP_001007230|NP_001007231|NP_001007229|NP_001007228|NP_001357661|NP_001357660|NP_003554	Q8IXJ6	A0A024R0G8	NP_085096|NP_001180215|NP_036369	BTO:0000007	HEK-293 cell	cell line	-	-	-	Homo sapiens	Homo sapiens
242348	8405	9046	113993	114508	-	-	SPOP	DOK2	BTBD32|TEF2	p56DOK|p56dok-2	Affinity Capture-MS	physical	Ewing RM (2007)	PUBMED:17353931	9606	9606	High Throughput	0.371	-	Exogenous expression of bait	-	BIOGRID	O43791	-	NP_001007227|NP_001357659|NP_001007230|NP_001007231|NP_001007229|NP_001007228|NP_001357661|NP_001357660|NP_003554	O60496	-	NP_003965	BTO:0000007	HEK-293 cell	cell line	-	-	-	Homo sapiens	Homo sapiens
242547	8405	23633	113993	117163	-	RP4-622L5.1	SPOP	KPNA6	BTBD32|TEF2	IPOA7|KPNA7	Affinity Capture-MS	physical	Ewing RM (2007)	PUBMED:17353931	9606	9606	High Throughput	0.357	-	Exogenous expression of bait	-	BIOGRID	O43791	-	NP_001007227|NP_001357659|NP_001007230|NP_001007231|NP_001007229|NP_001007228|NP_001357661|NP_001357660|NP_003554	O60684	-	NP_036448	BTO:0000007	HEK-293 cell	cell line	-	-	-	Homo sapiens	Homo sapiens
243032	8405	2664	113993	108932	-	XX-FW81657B9.1	SPOP	GDI1	BTBD32|TEF2	1A|GDIL|MRX41|MRX48|OPHN2|RABGD1A|RABGDIA|XAP-4	Affinity Capture-MS	physical	Ewing RM (2007)	PUBMED:17353931	9606	9606	High Throughput	0.322	-	Exogenous expression of bait	-	BIOGRID	O43791	-	NP_001007227|NP_001357659|NP_001007230|NP_001007231|NP_001007229|NP_001007228|NP_001357661|NP_001357660|NP_003554	P31150	-	NP_001484	BTO:0000007	HEK-293 cell	cell line	-	-	-	Homo sapiens	Homo sapiens
