#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Publication Source	Organism ID Interactor A	Organism ID Interactor B	Throughput	Score	Modification	Qualifications	Tags	Source Database	SWISS-PROT Accessions Interactor A	TREMBL Accessions Interactor A	REFSEQ Accessions Interactor A	SWISS-PROT Accessions Interactor B	TREMBL Accessions Interactor B	REFSEQ Accessions Interactor B	Ontology Term IDs	Ontology Term Names	Ontology Term Categories	Ontology Term Qualifier IDs	Ontology Term Qualifier Names	Ontology Term Types	Organism Name Interactor A	Organism Name Interactor B
13261	5575	8165	111561	113818	-	-	PRKAR1B	AKAP1	PRKAR1	AKAP|AKAP121|AKAP149|AKAP84|D-AKAP1|PPP1R43|PRKA1|SAKAP84|TDRD17	Two-hybrid	physical	Carlson CR (2003)	PUBMED:12634056	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P31321	-	NP_002726|NP_001158233|NP_001158232|NP_001158231|NP_001158230|NP_001158234	Q92667	B4DN86	NP_001357353|NP_001357352|NP_001357356|NP_001357355|NP_001357354|NP_001229831|NP_001229832|NP_003479	-	-	-	-	-	-	Homo sapiens	Homo sapiens
15306	5573	8165	111559	113818	-	-	PRKAR1A	AKAP1	ACRDYS1|ADOHR|CAR|CNC|CNC1|PKR1|PPNAD1|PRKAR1|TSE1	AKAP|AKAP121|AKAP149|AKAP84|D-AKAP1|PPP1R43|PRKA1|SAKAP84|TDRD17	Two-hybrid	physical	Carlson CR (2003)	PUBMED:12634056	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P10644	B2R5T5	NP_001263218|NP_001265362|NP_001263219|NP_002725|NP_997636|NP_997637|NP_001356318|NP_001356319	Q92667	B4DN86	NP_001357353|NP_001357352|NP_001357356|NP_001357355|NP_001357354|NP_001229831|NP_001229832|NP_003479	-	-	-	-	-	-	Homo sapiens	Homo sapiens
259887	8165	5575	113818	111561	-	-	AKAP1	PRKAR1B	AKAP|AKAP121|AKAP149|AKAP84|D-AKAP1|PPP1R43|PRKA1|SAKAP84|TDRD17	PRKAR1	Affinity Capture-Western	physical	Carlson CR (2003)	PUBMED:12634056	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q92667	B4DN86	NP_001357353|NP_001357352|NP_001357356|NP_001357355|NP_001357354|NP_001229831|NP_001229832|NP_003479	P31321	-	NP_002726|NP_001158233|NP_001158232|NP_001158231|NP_001158230|NP_001158234	-	-	-	-	-	-	Homo sapiens	Homo sapiens
281362	8165	276	113818	106773	-	-	AKAP1	AMY1A	AKAP|AKAP121|AKAP149|AKAP84|D-AKAP1|PPP1R43|PRKA1|SAKAP84|TDRD17	AMY1	Affinity Capture-Western	physical	Furusawa M (2002)	PUBMED:12414807	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q92667	B4DN86	NP_001357353|NP_001357352|NP_001357356|NP_001357355|NP_001357354|NP_001229831|NP_001229832|NP_003479	P04745	Q6NSB3	NP_001008222|NP_004029	-	-	-	-	-	-	Homo sapiens	Homo sapiens
286537	8165	5573	113818	111559	-	-	AKAP1	PRKAR1A	AKAP|AKAP121|AKAP149|AKAP84|D-AKAP1|PPP1R43|PRKA1|SAKAP84|TDRD17	ACRDYS1|ADOHR|CAR|CNC|CNC1|PKR1|PPNAD1|PRKAR1|TSE1	Reconstituted Complex	physical	Herberg FW (2000)	PUBMED:10764601	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q92667	B4DN86	NP_001357353|NP_001357352|NP_001357356|NP_001357355|NP_001357354|NP_001229831|NP_001229832|NP_003479	P10644	B2R5T5	NP_001263218|NP_001265362|NP_001263219|NP_002725|NP_997636|NP_997637|NP_001356318|NP_001356319	-	-	-	-	-	-	Homo sapiens	Homo sapiens
286538	8165	5576	113818	111562	-	-	AKAP1	PRKAR2A	AKAP|AKAP121|AKAP149|AKAP84|D-AKAP1|PPP1R43|PRKA1|SAKAP84|TDRD17	PKR2|PRKAR2	Reconstituted Complex	physical	Herberg FW (2000)	PUBMED:10764601	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q92667	B4DN86	NP_001357353|NP_001357352|NP_001357356|NP_001357355|NP_001357354|NP_001229831|NP_001229832|NP_003479	P13861	A0A024R2W3	NP_004148|NP_001308911|NP_001308918|NP_001308912	-	-	-	-	-	-	Homo sapiens	Homo sapiens
297156	8165	5576	113818	111562	-	-	AKAP1	PRKAR2A	AKAP|AKAP121|AKAP149|AKAP84|D-AKAP1|PPP1R43|PRKA1|SAKAP84|TDRD17	PKR2|PRKAR2	Far Western	physical	Kapiloff MS (1999)	PUBMED:10413680	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q92667	B4DN86	NP_001357353|NP_001357352|NP_001357356|NP_001357355|NP_001357354|NP_001229831|NP_001229832|NP_003479	P13861	A0A024R2W3	NP_004148|NP_001308911|NP_001308918|NP_001308912	-	-	-	-	-	-	Homo sapiens	Homo sapiens
303352	89876	8165	124630	113818	-	-	MAATS1	AKAP1	AAT1|AAT1alpha|C3orf15|CaM-IP2|SPATA26	AKAP|AKAP121|AKAP149|AKAP84|D-AKAP1|PPP1R43|PRKA1|SAKAP84|TDRD17	Affinity Capture-Western	physical	Yukitake H (2002)	PUBMED:12223483	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q7Z4T9	-	NP_203528	Q92667	B4DN86	NP_001357353|NP_001357352|NP_001357356|NP_001357355|NP_001357354|NP_001229831|NP_001229832|NP_003479	-	-	-	-	-	-	Homo sapiens	Homo sapiens
303353	8165	89876	113818	124630	-	-	AKAP1	MAATS1	AKAP|AKAP121|AKAP149|AKAP84|D-AKAP1|PPP1R43|PRKA1|SAKAP84|TDRD17	AAT1|AAT1alpha|C3orf15|CaM-IP2|SPATA26	Reconstituted Complex	physical	Yukitake H (2002)	PUBMED:12223483	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q92667	B4DN86	NP_001357353|NP_001357352|NP_001357356|NP_001357355|NP_001357354|NP_001229831|NP_001229832|NP_003479	Q7Z4T9	-	NP_203528	-	-	-	-	-	-	Homo sapiens	Homo sapiens
303354	8165	26292	113818	117673	-	-	AKAP1	MYCBP	AKAP|AKAP121|AKAP149|AKAP84|D-AKAP1|PPP1R43|PRKA1|SAKAP84|TDRD17	AMY-1	Reconstituted Complex	physical	Yukitake H (2002)	PUBMED:12223483	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q92667	B4DN86	NP_001357353|NP_001357352|NP_001357356|NP_001357355|NP_001357354|NP_001229831|NP_001229832|NP_003479	Q99417	-	NP_036465	-	-	-	-	-	-	Homo sapiens	Homo sapiens
