#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Publication Source	Organism ID Interactor A	Organism ID Interactor B	Throughput	Score	Modification	Qualifications	Tags	Source Database	SWISS-PROT Accessions Interactor A	TREMBL Accessions Interactor A	REFSEQ Accessions Interactor A	SWISS-PROT Accessions Interactor B	TREMBL Accessions Interactor B	REFSEQ Accessions Interactor B	Ontology Term IDs	Ontology Term Names	Ontology Term Categories	Ontology Term Qualifier IDs	Ontology Term Qualifier Names	Ontology Term Types	Organism Name Interactor A	Organism Name Interactor B
721248	253725	28952	128984	118780	RP11-175I17.5	JM1	FAM21C	CCDC22	FAM21A|VPEF	CXorf37	Affinity Capture-Western	physical	Harbour ME (2012)	PUBMED:22070227	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q9Y4E1	A8K5W5|B3KMC4	NP_001354338|NP_001354339|NP_001354330|NP_001354331|NP_001354332|NP_001354333|NP_001354334|NP_001354335|NP_001354336|NP_001354337|NP_001317003|NP_056077|NP_001354341|NP_001354345|NP_001354322|NP_001354329|NP_001354328|NP_001354340|NP_001354323|NP_001354344|NP_001354327|NP_001354326|NP_001354325|NP_001354324|NP_001354343|NP_001354342|NP_001162577|NP_001162578	O60826	A0A024QZ03	NP_054727	-	-	-	-	-	-	Homo sapiens	Homo sapiens
858959	28952	150684	118780	127317	JM1	-	CCDC22	COMMD1	CXorf37	C2orf5|MURR1	Affinity Capture-Western	physical	Starokadomskyy P (2013)	PUBMED:23563313	9606	9606	Low Throughput	-	-	-	-	BIOGRID	O60826	A0A024QZ03	NP_054727	Q8N668	-	NP_689729	-	-	-	-	-	-	Homo sapiens	Homo sapiens
858960	150684	28952	127317	118780	-	JM1	COMMD1	CCDC22	C2orf5|MURR1	CXorf37	Affinity Capture-Western	physical	Starokadomskyy P (2013)	PUBMED:23563313	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q8N668	-	NP_689729	O60826	A0A024QZ03	NP_054727	-	-	-	-	-	-	Homo sapiens	Homo sapiens
858961	170622	28952	128071	118780	RP11-173B14.2	JM1	COMMD6	CCDC22	Acrg	CXorf37	Affinity Capture-Western	physical	Starokadomskyy P (2013)	PUBMED:23563313	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q7Z4G1	B0QZ40	NP_001274322|NP_987091|NP_001274323|NP_987093|NP_001274321	O60826	A0A024QZ03	NP_054727	-	-	-	-	-	-	Homo sapiens	Homo sapiens
858964	29099	28952	118867	118780	HSPC166	JM1	COMMD9	CCDC22	-	CXorf37	Affinity Capture-Western	physical	Starokadomskyy P (2013)	PUBMED:23563313	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q9P000	Q53FR9	NP_001095123|NP_001294866|NP_054905	O60826	A0A024QZ03	NP_054727	-	-	-	-	-	-	Homo sapiens	Homo sapiens
858965	51397	28952	119521	118780	HSPC305	JM1	COMMD10	CCDC22	PTD002	CXorf37	Affinity Capture-Western	physical	Starokadomskyy P (2013)	PUBMED:23563313	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q9Y6G5	-	NP_057228	O60826	A0A024QZ03	NP_054727	-	-	-	-	-	-	Homo sapiens	Homo sapiens
858966	150684	28952	127317	118780	-	JM1	COMMD1	CCDC22	C2orf5|MURR1	CXorf37	Affinity Capture-MS	physical	Starokadomskyy P (2013)	PUBMED:23563313	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q8N668	-	NP_689729	O60826	A0A024QZ03	NP_054727	-	-	-	-	-	-	Homo sapiens	Homo sapiens
858967	29099	28952	118867	118780	HSPC166	JM1	COMMD9	CCDC22	-	CXorf37	Affinity Capture-MS	physical	Starokadomskyy P (2013)	PUBMED:23563313	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q9P000	Q53FR9	NP_001095123|NP_001294866|NP_054905	O60826	A0A024QZ03	NP_054727	-	-	-	-	-	-	Homo sapiens	Homo sapiens
858968	51397	28952	119521	118780	HSPC305	JM1	COMMD10	CCDC22	PTD002	CXorf37	Affinity Capture-MS	physical	Starokadomskyy P (2013)	PUBMED:23563313	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q9Y6G5	-	NP_057228	O60826	A0A024QZ03	NP_054727	-	-	-	-	-	-	Homo sapiens	Homo sapiens
858980	8454	28952	114032	118780	-	JM1	CUL1	CCDC22	-	CXorf37	Affinity Capture-Western	physical	Starokadomskyy P (2013)	PUBMED:23563313	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q13616	B3KTW0	NP_001357589|NP_003583|NP_001357591|NP_001357590|NP_001357593|NP_001357592	O60826	A0A024QZ03	NP_054727	-	-	-	-	-	-	Homo sapiens	Homo sapiens
858981	8945	28952	114457	118780	RP11-529I10.2	JM1	BTRC	CCDC22	BETA-TRCP|FBW1A|FBXW1|FBXW1A|FWD1|bTrCP|bTrCP1|betaTrCP	CXorf37	Affinity Capture-Western	physical	Starokadomskyy P (2013)	PUBMED:23563313	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q9Y297	B2R8L3|B7Z3H4|Q68DS0	NP_003930|NP_378663|NP_001243785	O60826	A0A024QZ03	NP_054727	-	-	-	-	-	-	Homo sapiens	Homo sapiens
