#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Publication Source	Organism ID Interactor A	Organism ID Interactor B	Throughput	Score	Modification	Qualifications	Tags	Source Database	SWISS-PROT Accessions Interactor A	TREMBL Accessions Interactor A	REFSEQ Accessions Interactor A	SWISS-PROT Accessions Interactor B	TREMBL Accessions Interactor B	REFSEQ Accessions Interactor B	Ontology Term IDs	Ontology Term Names	Ontology Term Categories	Ontology Term Qualifier IDs	Ontology Term Qualifier Names	Ontology Term Types	Organism Name Interactor A	Organism Name Interactor B
824432	29126	5781	118891	111745	-	-	CD274	PTPN11	B7-H|B7H1|PD-L1|PDCD1L1|PDCD1LG1|PDL1	BPTP3|CFC|NS1|PTP-1D|PTP2C|SH-PTP2|SH-PTP3|SHP2	Affinity Capture-Western	physical	Latchman Y (2001)	PUBMED:11224527	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q9NZQ7	Q0GN75	NP_054862|NP_001254635	Q06124	-	NP_001361554|NP_001317366|NP_002825|NP_542168	-	-	-	-	-	-	Homo sapiens	Homo sapiens
858351	941	29126	107379	118891	-	-	CD80	CD274	B7|B7-1|B7.1|BB1|CD28LG|CD28LG1|LAB7	B7-H|B7H1|PD-L1|PDCD1L1|PDCD1LG1|PDL1	Reconstituted Complex	physical	Ramani SR (2012)	PUBMED:21982860	9606	9606	High Throughput	-	-	protein microarray assay in which receptor protein was screened for interactions with a secreted protein library	-	BIOGRID	P33681	A0N0P2	NP_005182	Q9NZQ7	Q0GN75	NP_054862|NP_001254635	-	-	-	-	-	-	Homo sapiens	Homo sapiens
858354	29126	5133	118891	111160	-	-	CD274	PDCD1	B7-H|B7H1|PD-L1|PDCD1L1|PDCD1LG1|PDL1	CD279|PD-1|PD1|SLEB2|hPD-1|hPD-l|hSLE1	Reconstituted Complex	physical	Ramani SR (2012)	PUBMED:21982860	9606	9606	High Throughput	-	-	protein microarray assay in which receptor protein was screened for interactions with a secreted protein library	-	BIOGRID	Q9NZQ7	Q0GN75	NP_054862|NP_001254635	Q15116	-	NP_005009	-	-	-	-	-	-	Homo sapiens	Homo sapiens
858355	29126	941	118891	107379	-	-	CD274	CD80	B7-H|B7H1|PD-L1|PDCD1L1|PDCD1LG1|PDL1	B7|B7-1|B7.1|BB1|CD28LG|CD28LG1|LAB7	Reconstituted Complex	physical	Ramani SR (2012)	PUBMED:21982860	9606	9606	High Throughput	-	-	protein microarray assay in which receptor protein was screened for interactions with a secreted protein library	-	BIOGRID	Q9NZQ7	Q0GN75	NP_054862|NP_001254635	P33681	A0N0P2	NP_005182	-	-	-	-	-	-	Homo sapiens	Homo sapiens
858404	5133	29126	111160	118891	-	-	PDCD1	CD274	CD279|PD-1|PD1|SLEB2|hPD-1|hPD-l|hSLE1	B7-H|B7H1|PD-L1|PDCD1L1|PDCD1LG1|PDL1	Reconstituted Complex	physical	Ramani SR (2012)	PUBMED:21982860	9606	9606	High Throughput	-	-	protein microarray assay in which receptor protein was screened for interactions with a secreted protein library	-	BIOGRID	Q15116	-	NP_005009	Q9NZQ7	Q0GN75	NP_054862|NP_001254635	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1181245	29126	201266	118891	128379	-	-	CD274	SLC39A11	B7-H|B7H1|PD-L1|PDCD1L1|PDCD1LG1|PDL1	C17orf26|ZIP11	Affinity Capture-MS	physical	Huttlin EL (2015)	PUBMED:26186194	9606	9606	High Throughput	0.997787352	-	BioPlex 1.0 HEK 293T cells CompPASS score = 0.997787352, threshold = 0.75. Quantitative scores calculated by CompPASS-Plus (Huttlin et al. Cell, 2015, PMID: 26186194).|See BioPlex Interactome for details (https://bioplex.hms.harvard.edu/index.php).|This data has also been reanalyzed as part of BioPlex 2.0 (PMID: 28514442) and BioPlex 3.0 (PMID: 33961781). Only scores from within BioPlex 1.0 (PMID: 26186194) should be compared directly.	-	BIOGRID	Q9NZQ7	Q0GN75	NP_054862|NP_001254635	Q8N1S5	J3QS49	NP_001153242|NP_631916	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1181246	29126	63892	118891	121972	-	-	CD274	THADA	B7-H|B7H1|PD-L1|PDCD1L1|PDCD1LG1|PDL1	GITA	Affinity Capture-MS	physical	Huttlin EL (2015)	PUBMED:26186194	9606	9606	High Throughput	0.999354449	-	BioPlex 1.0 HEK 293T cells CompPASS score = 0.999354449, threshold = 0.75. Quantitative scores calculated by CompPASS-Plus (Huttlin et al. Cell, 2015, PMID: 26186194).|See BioPlex Interactome for details (https://bioplex.hms.harvard.edu/index.php).|This data has also been reanalyzed as part of BioPlex 2.0 (PMID: 28514442) and BioPlex 3.0 (PMID: 33961781). Only scores from within BioPlex 1.0 (PMID: 26186194) should be compared directly.	-	BIOGRID	Q9NZQ7	Q0GN75	NP_054862|NP_001254635	Q6YHU6	-	NP_001332854|NP_001077422|NP_001332853|NP_001332852|NP_001258573|NP_001258572|NP_071348	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1181247	29126	23039	118891	116678	-	-	CD274	XPO7	B7-H|B7H1|PD-L1|PDCD1L1|PDCD1LG1|PDL1	EXP7|RANBP16	Affinity Capture-MS	physical	Huttlin EL (2015)	PUBMED:26186194	9606	9606	High Throughput	0.999636069	-	BioPlex 1.0 HEK 293T cells CompPASS score = 0.999636069, threshold = 0.75. Quantitative scores calculated by CompPASS-Plus (Huttlin et al. Cell, 2015, PMID: 26186194).|See BioPlex Interactome for details (https://bioplex.hms.harvard.edu/index.php).|This data has also been reanalyzed as part of BioPlex 2.0 (PMID: 28514442) and BioPlex 3.0 (PMID: 33961781). Only scores from within BioPlex 1.0 (PMID: 26186194) should be compared directly.	-	BIOGRID	Q9NZQ7	Q0GN75	NP_054862|NP_001254635	Q9UIA9	-	NP_001093631|NP_055839|NP_001349731	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1181248	29126	27340	118891	118152	-	-	CD274	UTP20	B7-H|B7H1|PD-L1|PDCD1L1|PDCD1LG1|PDL1	DRIM	Affinity Capture-MS	physical	Huttlin EL (2015)	PUBMED:26186194	9606	9606	High Throughput	0.99975969	-	BioPlex 1.0 HEK 293T cells CompPASS score = 0.99975969, threshold = 0.75. Quantitative scores calculated by CompPASS-Plus (Huttlin et al. Cell, 2015, PMID: 26186194).|See BioPlex Interactome for details (https://bioplex.hms.harvard.edu/index.php).|This data has also been reanalyzed as part of BioPlex 2.0 (PMID: 28514442) and BioPlex 3.0 (PMID: 33961781). Only scores from within BioPlex 1.0 (PMID: 26186194) should be compared directly.	-	BIOGRID	Q9NZQ7	Q0GN75	NP_054862|NP_001254635	O75691	-	NP_055318	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1181249	29126	10985	118891	116181	-	-	CD274	GCN1L1	B7-H|B7H1|PD-L1|PDCD1L1|PDCD1LG1|PDL1	GCN1|GCN1L|PRIC295	Affinity Capture-MS	physical	Huttlin EL (2015)	PUBMED:26186194	9606	9606	High Throughput	0.764629574	-	BioPlex 1.0 HEK 293T cells CompPASS score = 0.764629574, threshold = 0.75. Quantitative scores calculated by CompPASS-Plus (Huttlin et al. Cell, 2015, PMID: 26186194).|See BioPlex Interactome for details (https://bioplex.hms.harvard.edu/index.php).|This data has also been reanalyzed as part of BioPlex 2.0 (PMID: 28514442) and BioPlex 3.0 (PMID: 33961781). Only scores from within BioPlex 1.0 (PMID: 26186194) should be compared directly.	-	BIOGRID	Q9NZQ7	Q0GN75	NP_054862|NP_001254635	Q92616	-	NP_006827	-	-	-	-	-	-	Homo sapiens	Homo sapiens
