#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Publication Source	Organism ID Interactor A	Organism ID Interactor B	Throughput	Score	Modification	Qualifications	Tags	Source Database	SWISS-PROT Accessions Interactor A	TREMBL Accessions Interactor A	REFSEQ Accessions Interactor A	SWISS-PROT Accessions Interactor B	TREMBL Accessions Interactor B	REFSEQ Accessions Interactor B	Ontology Term IDs	Ontology Term Names	Ontology Term Categories	Ontology Term Qualifier IDs	Ontology Term Qualifier Names	Ontology Term Types	Organism Name Interactor A	Organism Name Interactor B
119670	11059	27332	116243	118145	-	-	WWP1	ZNF638	AIP5|Tiul1|hSDRP1	NP220|ZFML|Zfp638	Two-hybrid	physical	Rual JF (2005)	PUBMED:16189514	9606	9606	High Throughput	-	-	-	-	BIOGRID	Q9H0M0	-	NP_008944	Q14966	A8K583	NP_001239541|NP_055312|NP_001239542|NP_001014972	-	-	-	-	-	-	Homo sapiens	Homo sapiens
119793	11052	11059	116238	116243	-	-	CPSF6	WWP1	CFIM|CFIM68|HPBRII-4|HPBRII-7	AIP5|Tiul1|hSDRP1	Two-hybrid	physical	Rual JF (2005)	PUBMED:16189514	9606	9606	High Throughput	-	-	-	-	BIOGRID	Q16630	-	NP_008938|NP_001287876	Q9H0M0	-	NP_008944	-	-	-	-	-	-	Homo sapiens	Homo sapiens
120039	2130	11059	108431	116243	AC002059.7	-	EWSR1	WWP1	EWS|bK984G1.4	AIP5|Tiul1|hSDRP1	Two-hybrid	physical	Rual JF (2005)	PUBMED:16189514	9606	9606	High Throughput	-	-	-	-	BIOGRID	Q01844	-	NP_001156758|NP_001156759|NP_005234|NP_053733|NP_001156757	Q9H0M0	-	NP_008944	-	-	-	-	-	-	Homo sapiens	Homo sapiens
121870	9802	11059	115143	116243	-	-	DAZAP2	WWP1	PRTB	AIP5|Tiul1|hSDRP1	Two-hybrid	physical	Rual JF (2005)	PUBMED:16189514	9606	9606	High Throughput	-	-	-	-	BIOGRID	Q15038	A0A024R110	NP_001129738|NP_001129739|NP_001129736|NP_001129741|NP_055579|NP_001129740	Q9H0M0	-	NP_008944	-	-	-	-	-	-	Homo sapiens	Homo sapiens
126271	11052	11059	116238	116243	-	-	CPSF6	WWP1	CFIM|CFIM68|HPBRII-4|HPBRII-7	AIP5|Tiul1|hSDRP1	Affinity Capture-Western	physical	Rual JF (2005)	PUBMED:16189514	9606	9606	High Throughput	-	-	-	-	BIOGRID	Q16630	-	NP_008938|NP_001287876	Q9H0M0	-	NP_008944	-	-	-	-	-	-	Homo sapiens	Homo sapiens
196650	11059	11083	116243	116266	-	RP5-885L7.1	WWP1	DIDO1	AIP5|Tiul1|hSDRP1	BYE1|C20orf158|DATF-1|DATF1|DIDO2|DIDO3|DIO-1|DIO1|dJ885L7.8	Two-hybrid	physical	Rual JF (2005)	PUBMED:16189514	9606	9606	High Throughput	-	-	-	-	BIOGRID	Q9H0M0	-	NP_008944	Q9BTC0	-	NP_071388|NP_542986|NP_542987|NP_001180298|NP_001180299|NP_149072	-	-	-	-	-	-	Homo sapiens	Homo sapiens
278578	23559	11059	117103	116243	-	-	WBP1	WWP1	WBP-1	AIP5|Tiul1|hSDRP1	Protein-peptide	physical	Pirozzi G (1997)	PUBMED:9169421	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q96G27	-	NP_036609	Q9H0M0	-	NP_008944	-	-	-	-	-	-	Homo sapiens	Homo sapiens
278581	23558	11059	117102	116243	-	-	WBP2	WWP1	WBP-2	AIP5|Tiul1|hSDRP1	Protein-peptide	physical	Pirozzi G (1997)	PUBMED:9169421	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q969T9	A0A024R8L1	NP_036610|NP_001317428|NP_001335099	Q9H0M0	-	NP_008944	-	-	-	-	-	-	Homo sapiens	Homo sapiens
300979	11059	10365	116243	115645	-	-	WWP1	KLF2	AIP5|Tiul1|hSDRP1	LKLF	Two-hybrid	physical	Conkright MD (2001)	PUBMED:11375995	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q9H0M0	-	NP_008944	Q9Y5W3	Q8IUN4	NP_057354	-	-	-	-	-	-	Homo sapiens	Homo sapiens
300980	10365	11059	115645	116243	-	-	KLF2	WWP1	LKLF	AIP5|Tiul1|hSDRP1	Affinity Capture-Western	physical	Conkright MD (2001)	PUBMED:11375995	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q9Y5W3	Q8IUN4	NP_057354	Q9H0M0	-	NP_008944	-	-	-	-	-	-	Homo sapiens	Homo sapiens
303677	6337	11059	112241	116243	-	-	SCNN1A	WWP1	BESC2|ENaCa|ENaCalpha|SCNEA|SCNN1	AIP5|Tiul1|hSDRP1	Two-hybrid	physical	Malbert-Colas L (2003)	PUBMED:14556380	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P37088	-	NP_001029|NP_001153048|NP_001153047	Q9H0M0	-	NP_008944	-	-	-	-	-	-	Homo sapiens	Homo sapiens
316731	1822	11059	108156	116243	-	-	ATN1	WWP1	B37|D12S755E|DRPLA|HRS|NOD	AIP5|Tiul1|hSDRP1	Two-hybrid	physical	Wood JD (1998)	PUBMED:9647693	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P54259	Q86V38	NP_001931|NP_001007027	Q9H0M0	-	NP_008944	-	-	-	-	-	-	Homo sapiens	Homo sapiens
320330	11059	57142	116243	121400	-	My043	WWP1	RTN4	AIP5|Tiul1|hSDRP1	ASY|NI220/250|NOGO|NOGO-A|NOGOC|NSP|NSP-CL|Nbla00271|Nbla10545|Nogo-B|Nogo-C|RTN-X|RTN4-A|RTN4-B1|RTN4-B2|RTN4-C	Reconstituted Complex	physical	Qin H (2008)	PUBMED:19035836	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q9H0M0	-	NP_008944	Q9NQC3	-	NP_001308792|NP_001308791|NP_001308790|NP_997403|NP_008939|NP_001308788|NP_001308789|NP_997404|NP_065393|NP_001308833|NP_722550	-	-	-	-	-	-	Homo sapiens	Homo sapiens
320331	11059	57142	116243	121400	-	My043	WWP1	RTN4	AIP5|Tiul1|hSDRP1	ASY|NI220/250|NOGO|NOGO-A|NOGOC|NSP|NSP-CL|Nbla00271|Nbla10545|Nogo-B|Nogo-C|RTN-X|RTN4-A|RTN4-B1|RTN4-B2|RTN4-C	Affinity Capture-Western	physical	Qin H (2008)	PUBMED:19035836	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q9H0M0	-	NP_008944	Q9NQC3	-	NP_001308792|NP_001308791|NP_001308790|NP_997403|NP_008939|NP_001308788|NP_001308789|NP_997404|NP_065393|NP_001308833|NP_722550	-	-	-	-	-	-	Homo sapiens	Homo sapiens
