#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Publication Source	Organism ID Interactor A	Organism ID Interactor B	Throughput	Score	Modification	Qualifications	Tags	Source Database	SWISS-PROT Accessions Interactor A	TREMBL Accessions Interactor A	REFSEQ Accessions Interactor A	SWISS-PROT Accessions Interactor B	TREMBL Accessions Interactor B	REFSEQ Accessions Interactor B	Ontology Term IDs	Ontology Term Names	Ontology Term Categories	Ontology Term Qualifier IDs	Ontology Term Qualifier Names	Ontology Term Types	Organism Name Interactor A	Organism Name Interactor B
13646	5170	5590	111196	111576	-	RP11-181G12.1	PDPK1	PRKCZ	PDK1|PDPK2|PDPK2P|PRO0461	PKC-ZETA|PKC2	Two-hybrid	physical	Balendran A (2000)	PUBMED:10764742	9606	9606	Low Throughput	-	-	-	-	BIOGRID	O15530	E9PER6	NP_002604|NP_001248745|NP_112558	Q05513	-	NP_001028754|NP_002735|NP_001229803|NP_001028753	-	-	-	-	-	-	Homo sapiens	Homo sapiens
17299	5170	5584	111196	111570	-	-	PDPK1	PRKCI	PDK1|PDPK2|PDPK2P|PRO0461	DXS1179E|PKCI|nPKC-iota	Two-hybrid	physical	Balendran A (2000)	PUBMED:10764742	9606	9606	Low Throughput	-	-	-	-	BIOGRID	O15530	E9PER6	NP_002604|NP_001248745|NP_112558	P41743	-	NP_002731	-	-	-	-	-	-	Homo sapiens	Homo sapiens
270800	11098	5170	116279	111196	UNQ270/PRO307	-	PRSS23	PDPK1	SIG13|SPUVE|ZSIG13	PDK1|PDPK2|PDPK2P|PRO0461	Two-hybrid	physical	Stelzl U (2005)	PUBMED:16169070	9606	9606	High Throughput	2.0	-	-	-	BIOGRID	O95084	-	NP_001280109|NP_001280108|NP_009104|NP_001280107	O15530	E9PER6	NP_002604|NP_001248745|NP_112558	-	-	-	-	-	-	Homo sapiens	Homo sapiens
277569	5170	9351	111196	114754	-	-	PDPK1	SLC9A3R2	PDK1|PDPK2|PDPK2P|PRO0461	E3KARP|NHE3RF2|NHERF-2|NHERF2|OCTS2|SIP-1|SIP1|TKA-1	Affinity Capture-Western	physical	Chun J (2002)	PUBMED:12387817	9606	9606	Low Throughput	-	-	-	-	BIOGRID	O15530	E9PER6	NP_002604|NP_001248745|NP_112558	Q15599	-	NP_001239004|NP_001239002|NP_004776|NP_001239005|NP_001123484	-	-	-	-	-	-	Homo sapiens	Homo sapiens
277570	9351	5170	114754	111196	-	-	SLC9A3R2	PDPK1	E3KARP|NHE3RF2|NHERF-2|NHERF2|OCTS2|SIP-1|SIP1|TKA-1	PDK1|PDPK2|PDPK2P|PRO0461	Affinity Capture-Western	physical	Chun J (2002)	PUBMED:12387817	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q15599	-	NP_001239004|NP_001239002|NP_004776|NP_001239005|NP_001123484	O15530	E9PER6	NP_002604|NP_001248745|NP_112558	-	-	-	-	-	-	Homo sapiens	Homo sapiens
277572	6446	5170	112344	111196	RP1-188K17.1	-	SGK1	PDPK1	SGK	PDK1|PDPK2|PDPK2P|PRO0461	Reconstituted Complex	physical	Chun J (2002)	PUBMED:12387817	9606	9606	Low Throughput	-	-	-	-	BIOGRID	O00141	E9PR89|B7Z325	NP_001137150|NP_001278924|NP_001137148|NP_005618|NP_001137149	O15530	E9PER6	NP_002604|NP_001248745|NP_112558	-	-	-	-	-	-	Homo sapiens	Homo sapiens
280486	5590	5170	111576	111196	RP11-181G12.1	-	PRKCZ	PDPK1	PKC-ZETA|PKC2	PDK1|PDPK2|PDPK2P|PRO0461	Two-hybrid	physical	Hodgkinson CP (2002)	PUBMED:11781095	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q05513	-	NP_001028754|NP_002735|NP_001229803|NP_001028753	O15530	E9PER6	NP_002604|NP_001248745|NP_112558	-	-	-	-	-	-	Homo sapiens	Homo sapiens
280487	5580	5170	111566	111196	-	-	PRKCD	PDPK1	ALPS3|CVID9|MAY1|PKCD|nPKC-delta	PDK1|PDPK2|PDPK2P|PRO0461	Two-hybrid	physical	Hodgkinson CP (2002)	PUBMED:11781095	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q05655	A0A024R328	NP_001341607|NP_001341605|NP_001341608|NP_001341609|NP_006245|NP_997704|NP_001303256	O15530	E9PER6	NP_002604|NP_001248745|NP_112558	-	-	-	-	-	-	Homo sapiens	Homo sapiens
280488	5170	5580	111196	111566	-	-	PDPK1	PRKCD	PDK1|PDPK2|PDPK2P|PRO0461	ALPS3|CVID9|MAY1|PKCD|nPKC-delta	Affinity Capture-Western	physical	Hodgkinson CP (2002)	PUBMED:11781095	9606	9606	Low Throughput	-	-	-	-	BIOGRID	O15530	E9PER6	NP_002604|NP_001248745|NP_112558	Q05655	A0A024R328	NP_001341607|NP_001341605|NP_001341608|NP_001341609|NP_006245|NP_997704|NP_001303256	-	-	-	-	-	-	Homo sapiens	Homo sapiens
280489	5170	5590	111196	111576	-	RP11-181G12.1	PDPK1	PRKCZ	PDK1|PDPK2|PDPK2P|PRO0461	PKC-ZETA|PKC2	Affinity Capture-Western	physical	Hodgkinson CP (2002)	PUBMED:11781095	9606	9606	Low Throughput	-	-	-	-	BIOGRID	O15530	E9PER6	NP_002604|NP_001248745|NP_112558	Q05513	-	NP_001028754|NP_002735|NP_001229803|NP_001028753	-	-	-	-	-	-	Homo sapiens	Homo sapiens
