#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Publication Source	Organism ID Interactor A	Organism ID Interactor B	Throughput	Score	Modification	Qualifications	Tags	Source Database	SWISS-PROT Accessions Interactor A	TREMBL Accessions Interactor A	REFSEQ Accessions Interactor A	SWISS-PROT Accessions Interactor B	TREMBL Accessions Interactor B	REFSEQ Accessions Interactor B	Ontology Term IDs	Ontology Term Names	Ontology Term Categories	Ontology Term Qualifier IDs	Ontology Term Qualifier Names	Ontology Term Types	Organism Name Interactor A	Organism Name Interactor B
686118	8452	55709	114030	120833	-	-	CUL3	KBTBD4	CUL-3|PHA2E	BKLHD4|HSPC252	Affinity Capture-MS	physical	Bennett EJ (2010)	PUBMED:21145461	9606	9606	High Throughput	-	-	All data was filtered to a 1% false discovery rate (peptide level) prior to analysis using CompPASS to identify high confidence candidate interacting proteins|TAP-tagged Cul3|exogenous expression of bait	-	BIOGRID	Q13618	B7Z600|A0A024R475	NP_001244127|NP_001244126|NP_003581	Q9NVX7	-	NP_001305645|NP_001305647|NP_001305646|NP_001305648|NP_001305649|NP_001305651|NP_001305650|NP_001305653|NP_001305652|NP_060565|NP_001305654|NP_057590	BTO:0002181	HEK-293T cell	cell line	-	-	-	Homo sapiens	Homo sapiens
689577	10987	55709	116183	120833	-	-	COPS5	KBTBD4	CSN5|JAB1|MOV-34|SGN5	BKLHD4|HSPC252	Affinity Capture-MS	physical	Bennett EJ (2010)	PUBMED:21145461	9606	9606	High Throughput	-	-	All data was filtered to a 1% false discovery rate (peptide level) prior to analysis using CompPASS to identify high confidence candidate interacting proteins|TAP-tagged COPS5|exogenous expression of bait	-	BIOGRID	Q92905	A0A024R7W9	NP_006828	Q9NVX7	-	NP_001305645|NP_001305647|NP_001305646|NP_001305648|NP_001305649|NP_001305651|NP_001305650|NP_001305653|NP_001305652|NP_060565|NP_001305654|NP_057590	BTO:0002181	HEK-293T cell	cell line	-	-	-	Homo sapiens	Homo sapiens
828989	3320	55709	109552	120833	-	-	HSP90AA1	KBTBD4	EL52|HSP86|HSP89A|HSP90A|HSP90N|HSPC1|HSPCA|HSPCAL1|HSPCAL4|HSPN|Hsp89|Hsp90|LAP-2|LAP2	BKLHD4|HSPC252	Affinity Capture-Luminescence	physical	Taipale M (2012)	PUBMED:22939624	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P07900	Q86SX1|K9JA46	NP_005339|NP_001017963	Q9NVX7	-	NP_001305645|NP_001305647|NP_001305646|NP_001305648|NP_001305649|NP_001305651|NP_001305650|NP_001305653|NP_001305652|NP_060565|NP_001305654|NP_057590	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1180803	4350	55709	110490	120833	Z69720.1-002	-	MPG	KBTBD4	AAG|ADPG|APNG|CRA36.1|MDG|Mid1|PIG11|PIG16|anpg	BKLHD4|HSPC252	Affinity Capture-MS	physical	Huttlin EL (2015)	PUBMED:26186194	9606	9606	High Throughput	0.999998006	-	BioPlex 1.0 HEK 293T cells CompPASS score = 0.999998006, threshold = 0.75. Quantitative scores calculated by CompPASS-Plus (Huttlin et al. Cell, 2015, PMID: 26186194).|See BioPlex Interactome for details (https://bioplex.hms.harvard.edu/index.php).|This data has also been reanalyzed as part of BioPlex 2.0 (PMID: 28514442) and BioPlex 3.0 (PMID: 33961781). Only scores from within BioPlex 1.0 (PMID: 26186194) should be compared directly.	-	BIOGRID	P29372	Q1W6H1	NP_002425|NP_001015054|NP_001015052	Q9NVX7	-	NP_001305645|NP_001305647|NP_001305646|NP_001305648|NP_001305649|NP_001305651|NP_001305650|NP_001305653|NP_001305652|NP_060565|NP_001305654|NP_057590	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1420171	5728	55709	111700	120833	-	-	PTEN	KBTBD4	10q23del|BZS|CWS1|DEC|GLM2|MHAM|MMAC1|PTEN1|TEP1	BKLHD4|HSPC252	Reconstituted Complex	physical	Verrastro I (2015)	PUBMED:26561776	9606	9606	High Throughput	-	-	-	-	BIOGRID	P60484	F6KD01	NP_001291646|NP_000305	Q9NVX7	-	NP_001305645|NP_001305647|NP_001305646|NP_001305648|NP_001305649|NP_001305651|NP_001305650|NP_001305653|NP_001305652|NP_060565|NP_001305654|NP_057590	-	-	-	-	-	-	Homo sapiens	Homo sapiens
2216715	55709	143384	120833	126801	-	-	KBTBD4	CACUL1	BKLHD4|HSPC252	C10orf46|CAC1	Affinity Capture-MS	physical	Huttlin EL (2017)	PUBMED:28514442	9606	9606	High Throughput	1.0	-	BioPlex 2.0 HEK 293T cells CompPASS score = 1.0, threshold = 0.75. Quantitative scores calculated by CompPASS-Plus (Huttlin et al. Cell, 2015, PMID: 26186194).|See BioPlex Interactome for details (https://bioplex.hms.harvard.edu/index.php).|This data has also been reanalyzed as part of BioPlex 3.0 (PMID: 33961781) and may be re-scored from BioPlex 1.0 (PMID: 26186194). Only scores from within BioPlex 2.0 (PMID: 28514442) should be compared directly.	-	BIOGRID	Q9NVX7	-	NP_001305645|NP_001305647|NP_001305646|NP_001305648|NP_001305649|NP_001305651|NP_001305650|NP_001305653|NP_001305652|NP_060565|NP_001305654|NP_057590	Q86Y37	B4DVQ4	NP_722517	-	-	-	-	-	-	Homo sapiens	Homo sapiens
2225386	4350	55709	110490	120833	Z69720.1-002	-	MPG	KBTBD4	AAG|ADPG|APNG|CRA36.1|MDG|Mid1|PIG11|PIG16|anpg	BKLHD4|HSPC252	Affinity Capture-MS	physical	Huttlin EL (2017)	PUBMED:28514442	9606	9606	High Throughput	0.999952345	-	BioPlex 2.0 HEK 293T cells CompPASS score = 0.999952345, threshold = 0.75. Quantitative scores calculated by CompPASS-Plus (Huttlin et al. Cell, 2015, PMID: 26186194).|See BioPlex Interactome for details (https://bioplex.hms.harvard.edu/index.php).|This data has also been reanalyzed as part of BioPlex 3.0 (PMID: 33961781) and may be re-scored from BioPlex 1.0 (PMID: 26186194). Only scores from within BioPlex 2.0 (PMID: 28514442) should be compared directly.	-	BIOGRID	P29372	Q1W6H1	NP_002425|NP_001015054|NP_001015052	Q9NVX7	-	NP_001305645|NP_001305647|NP_001305646|NP_001305648|NP_001305649|NP_001305651|NP_001305650|NP_001305653|NP_001305652|NP_060565|NP_001305654|NP_057590	-	-	-	-	-	-	Homo sapiens	Homo sapiens
2228528	55709	1663	120833	108028	-	-	KBTBD4	DDX11	BKLHD4|HSPC252	CHL1|CHLR1|KRG2|WABS	Affinity Capture-MS	physical	Huttlin EL (2017)	PUBMED:28514442	9606	9606	High Throughput	0.999764707	-	BioPlex 2.0 HEK 293T cells CompPASS score = 0.999764707, threshold = 0.75. Quantitative scores calculated by CompPASS-Plus (Huttlin et al. Cell, 2015, PMID: 26186194).|See BioPlex Interactome for details (https://bioplex.hms.harvard.edu/index.php).|This data has also been reanalyzed as part of BioPlex 3.0 (PMID: 33961781) and may be re-scored from BioPlex 1.0 (PMID: 26186194). Only scores from within BioPlex 2.0 (PMID: 28514442) should be compared directly.	-	BIOGRID	Q9NVX7	-	NP_001305645|NP_001305647|NP_001305646|NP_001305648|NP_001305649|NP_001305651|NP_001305650|NP_001305653|NP_001305652|NP_060565|NP_001305654|NP_057590	Q96FC9	Q2NKM7	NP_004390|NP_085911|NP_689651|NP_001244073|NP_001244074	-	-	-	-	-	-	Homo sapiens	Homo sapiens
2231436	55709	8452	120833	114030	-	-	KBTBD4	CUL3	BKLHD4|HSPC252	CUL-3|PHA2E	Affinity Capture-MS	physical	Huttlin EL (2017)	PUBMED:28514442	9606	9606	High Throughput	0.99926391	-	BioPlex 2.0 HEK 293T cells CompPASS score = 0.99926391, threshold = 0.75. Quantitative scores calculated by CompPASS-Plus (Huttlin et al. Cell, 2015, PMID: 26186194).|See BioPlex Interactome for details (https://bioplex.hms.harvard.edu/index.php).|This data has also been reanalyzed as part of BioPlex 3.0 (PMID: 33961781) and may be re-scored from BioPlex 1.0 (PMID: 26186194). Only scores from within BioPlex 2.0 (PMID: 28514442) should be compared directly.	-	BIOGRID	Q9NVX7	-	NP_001305645|NP_001305647|NP_001305646|NP_001305648|NP_001305649|NP_001305651|NP_001305650|NP_001305653|NP_001305652|NP_060565|NP_001305654|NP_057590	Q13618	B7Z600|A0A024R475	NP_001244127|NP_001244126|NP_003581	-	-	-	-	-	-	Homo sapiens	Homo sapiens
2246238	55709	5190	120833	111213	-	RP1-125M3.3	KBTBD4	PEX6	BKLHD4|HSPC252	PAF-2|PAF2|PBD4A|PDB4B|PXAAA1	Affinity Capture-MS	physical	Huttlin EL (2017)	PUBMED:28514442	9606	9606	High Throughput	0.97581389	-	BioPlex 2.0 HEK 293T cells CompPASS score = 0.97581389, threshold = 0.75. Quantitative scores calculated by CompPASS-Plus (Huttlin et al. Cell, 2015, PMID: 26186194).|See BioPlex Interactome for details (https://bioplex.hms.harvard.edu/index.php).|This data has also been reanalyzed as part of BioPlex 3.0 (PMID: 33961781) and may be re-scored from BioPlex 1.0 (PMID: 26186194). Only scores from within BioPlex 2.0 (PMID: 28514442) should be compared directly.	-	BIOGRID	Q9NVX7	-	NP_001305645|NP_001305647|NP_001305646|NP_001305648|NP_001305649|NP_001305651|NP_001305650|NP_001305653|NP_001305652|NP_060565|NP_001305654|NP_057590	Q13608	A0A024RD09	NP_001303242|NP_000278	-	-	-	-	-	-	Homo sapiens	Homo sapiens
