#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Publication Source	Organism ID Interactor A	Organism ID Interactor B	Throughput	Score	Modification	Qualifications	Tags	Source Database	SWISS-PROT Accessions Interactor A	TREMBL Accessions Interactor A	REFSEQ Accessions Interactor A	SWISS-PROT Accessions Interactor B	TREMBL Accessions Interactor B	REFSEQ Accessions Interactor B	Ontology Term IDs	Ontology Term Names	Ontology Term Categories	Ontology Term Qualifier IDs	Ontology Term Qualifier Names	Ontology Term Types	Organism Name Interactor A	Organism Name Interactor B
241748	2288	10055	108578	115366	-	-	FKBP4	SAE1	FKBP51|FKBP52|FKBP59|HBI|Hsp56|PPIase|p52	AOS1|HSPC140|SUA1|UBLE1A	Affinity Capture-MS	physical	Ewing RM (2007)	PUBMED:17353931	9606	9606	High Throughput	0.454	-	Exogenous expression of bait	-	BIOGRID	Q02790	-	NP_002005	Q9UBE0	A0A024R0R4	NP_005491|NP_001139186|NP_001139185	BTO:0000007	HEK-293 cell	cell line	-	-	-	Homo sapiens	Homo sapiens
242338	2288	125336	108578	125926	-	-	FKBP4	LOXHD1	FKBP51|FKBP52|FKBP59|HBI|Hsp56|PPIase|p52	DFNB77|LH2D1	Affinity Capture-MS	physical	Ewing RM (2007)	PUBMED:17353931	9606	9606	High Throughput	0.371	-	Exogenous expression of bait	-	BIOGRID	Q02790	-	NP_002005	Q8IVV2	F5GZB4|B7Z7T7	NP_653213|NP_001138945|NP_001138944|NP_001166600	BTO:0000007	HEK-293 cell	cell line	-	-	-	Homo sapiens	Homo sapiens
261925	2099	2288	108403	108578	RP1-130E4.1	-	ESR1	FKBP4	ER|ESR|ESRA|ESTRR|Era|NR3A1	FKBP51|FKBP52|FKBP59|HBI|Hsp56|PPIase|p52	Reconstituted Complex	physical	Nair SC (1996)	PUBMED:9222609	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P03372	Q9UBT1|G4XH65|A8KAF4	NP_001116213|NP_000116|NP_001278159|NP_001278170|NP_001116212|NP_001116214	Q02790	-	NP_002005	-	-	-	-	-	-	Homo sapiens	Homo sapiens
261931	2242	2288	108533	108578	-	-	FES	FKBP4	FPS	FKBP51|FKBP52|FKBP59|HBI|Hsp56|PPIase|p52	Reconstituted Complex	physical	Nair SC (1996)	PUBMED:9222609	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P07332	A0A024RC92	NP_001996|NP_001137256|NP_001137257|NP_001137255	Q02790	-	NP_002005	-	-	-	-	-	-	Homo sapiens	Homo sapiens
261944	3297	2288	109530	108578	-	-	HSF1	FKBP4	HSTF1	FKBP51|FKBP52|FKBP59|HBI|Hsp56|PPIase|p52	Reconstituted Complex	physical	Nair SC (1996)	PUBMED:9222609	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q00613	-	NP_005517	Q02790	-	NP_002005	-	-	-	-	-	-	Homo sapiens	Homo sapiens
277896	2288	3662	108578	109870	-	-	FKBP4	IRF4	FKBP51|FKBP52|FKBP59|HBI|Hsp56|PPIase|p52	LSIRF|MUM1|NF-EM5|SHEP8	Affinity Capture-Western	physical	Mamane Y (2000)	PUBMED:10714679	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q02790	-	NP_002005	Q15306	-	NP_002451|NP_001182215	-	-	-	-	-	-	Homo sapiens	Homo sapiens
280027	2288	5264	108578	111282	-	RP11-24J20.1	FKBP4	PHYH	FKBP51|FKBP52|FKBP59|HBI|Hsp56|PPIase|p52	LN1|LNAP1|PAHX|PHYH1|RD	Two-hybrid	physical	Chambraud B (1999)	PUBMED:10051602	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q02790	-	NP_002005	O14832	-	NP_006205|NP_001310009|NP_001310011|NP_001032626|NP_001310013|NP_001310012	-	-	-	-	-	-	Homo sapiens	Homo sapiens
280028	5264	2288	111282	108578	RP11-24J20.1	-	PHYH	FKBP4	LN1|LNAP1|PAHX|PHYH1|RD	FKBP51|FKBP52|FKBP59|HBI|Hsp56|PPIase|p52	Reconstituted Complex	physical	Chambraud B (1999)	PUBMED:10051602	9606	9606	Low Throughput	-	-	-	-	BIOGRID	O14832	-	NP_006205|NP_001310009|NP_001310011|NP_001032626|NP_001310013|NP_001310012	Q02790	-	NP_002005	-	-	-	-	-	-	Homo sapiens	Homo sapiens
280029	2288	5264	108578	111282	-	RP11-24J20.1	FKBP4	PHYH	FKBP51|FKBP52|FKBP59|HBI|Hsp56|PPIase|p52	LN1|LNAP1|PAHX|PHYH1|RD	Reconstituted Complex	physical	Chambraud B (1999)	PUBMED:10051602	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q02790	-	NP_002005	O14832	-	NP_006205|NP_001310009|NP_001310011|NP_001032626|NP_001310013|NP_001310012	-	-	-	-	-	-	Homo sapiens	Homo sapiens
282692	11146	2288	116318	108578	-	-	GLMN	FKBP4	FAP|FAP48|FAP68|FKBPAP|GLML|GVM|VMGLOM	FKBP51|FKBP52|FKBP59|HBI|Hsp56|PPIase|p52	Reconstituted Complex	physical	Chambraud B (1996)	PUBMED:8955134	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q92990	B4DJ85	NP_001306612|NP_444504	Q02790	-	NP_002005	-	-	-	-	-	-	Homo sapiens	Homo sapiens
