#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Publication Source	Organism ID Interactor A	Organism ID Interactor B	Throughput	Score	Modification	Qualifications	Tags	Source Database	SWISS-PROT Accessions Interactor A	TREMBL Accessions Interactor A	REFSEQ Accessions Interactor A	SWISS-PROT Accessions Interactor B	TREMBL Accessions Interactor B	REFSEQ Accessions Interactor B	Ontology Term IDs	Ontology Term Names	Ontology Term Categories	Ontology Term Qualifier IDs	Ontology Term Qualifier Names	Ontology Term Types	Organism Name Interactor A	Organism Name Interactor B
10266	4804	5567	110870	111554	-	RP11-82H13.1	NGFR	PRKACB	CD271|Gp80-LNGFR|TNFRSF16|p75(NTR)|p75NTR	PKA C-beta|PKACB	Two-hybrid	physical	Higuchi H (2003)	PUBMED:12682012	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P08138	-	NP_002498	P22694	B7ZA00|B2RB89|B1APF9|B1APG3|A0A087WVC4|A0A087WVV9	NP_001362508|NP_001362509|NP_001229786|NP_001229787|NP_001362502|NP_001362503|NP_001362500|NP_001229789|NP_001362506|NP_001362507|NP_001362504|NP_001362505|NP_001362501|NP_001362498|NP_891993|NP_001362490|NP_001362491|NP_001362492|NP_001362493|NP_001287845|NP_001287844|NP_001287846|NP_002722|NP_001229791|NP_001229790|NP_001229788|NP_001362510|NP_001362494|NP_001362489|NP_997461	-	-	-	-	-	-	Homo sapiens	Homo sapiens
259348	4804	5567	110870	111554	-	RP11-82H13.1	NGFR	PRKACB	CD271|Gp80-LNGFR|TNFRSF16|p75(NTR)|p75NTR	PKA C-beta|PKACB	Affinity Capture-Western	physical	Higuchi H (2003)	PUBMED:12682012	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P08138	-	NP_002498	P22694	B7ZA00|B2RB89|B1APF9|B1APG3|A0A087WVC4|A0A087WVV9	NP_001362508|NP_001362509|NP_001229786|NP_001229787|NP_001362502|NP_001362503|NP_001362500|NP_001229789|NP_001362506|NP_001362507|NP_001362504|NP_001362505|NP_001362501|NP_001362498|NP_891993|NP_001362490|NP_001362491|NP_001362492|NP_001362493|NP_001287845|NP_001287844|NP_001287846|NP_002722|NP_001229791|NP_001229790|NP_001229788|NP_001362510|NP_001362494|NP_001362489|NP_997461	-	-	-	-	-	-	Homo sapiens	Homo sapiens
259349	5567	4804	111554	110870	RP11-82H13.1	-	PRKACB	NGFR	PKA C-beta|PKACB	CD271|Gp80-LNGFR|TNFRSF16|p75(NTR)|p75NTR	Affinity Capture-Western	physical	Higuchi H (2003)	PUBMED:12682012	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P22694	B7ZA00|B2RB89|B1APF9|B1APG3|A0A087WVC4|A0A087WVV9	NP_001362508|NP_001362509|NP_001229786|NP_001229787|NP_001362502|NP_001362503|NP_001362500|NP_001229789|NP_001362506|NP_001362507|NP_001362504|NP_001362505|NP_001362501|NP_001362498|NP_891993|NP_001362490|NP_001362491|NP_001362492|NP_001362493|NP_001287845|NP_001287844|NP_001287846|NP_002722|NP_001229791|NP_001229790|NP_001229788|NP_001362510|NP_001362494|NP_001362489|NP_997461	P08138	-	NP_002498	-	-	-	-	-	-	Homo sapiens	Homo sapiens
259350	5567	4804	111554	110870	RP11-82H13.1	-	PRKACB	NGFR	PKA C-beta|PKACB	CD271|Gp80-LNGFR|TNFRSF16|p75(NTR)|p75NTR	Biochemical Activity	physical	Higuchi H (2003)	PUBMED:12682012	9606	9606	Low Throughput	-	Phosphorylation	-	-	BIOGRID	P22694	B7ZA00|B2RB89|B1APF9|B1APG3|A0A087WVC4|A0A087WVV9	NP_001362508|NP_001362509|NP_001229786|NP_001229787|NP_001362502|NP_001362503|NP_001362500|NP_001229789|NP_001362506|NP_001362507|NP_001362504|NP_001362505|NP_001362501|NP_001362498|NP_891993|NP_001362490|NP_001362491|NP_001362492|NP_001362493|NP_001287845|NP_001287844|NP_001287846|NP_002722|NP_001229791|NP_001229790|NP_001229788|NP_001362510|NP_001362494|NP_001362489|NP_997461	P08138	-	NP_002498	-	-	-	-	-	-	Homo sapiens	Homo sapiens
268184	5567	6262	111554	112174	RP11-82H13.1	RP4-626J7.1	PRKACB	RYR2	PKA C-beta|PKACB	ARVC2|ARVD2|RYR-2|RyR|VTSIP	Biochemical Activity	physical	Marx SO (2000)	PUBMED:10830164	9606	9606	Low Throughput	-	Phosphorylation	-	-	BIOGRID	P22694	B7ZA00|B2RB89|B1APF9|B1APG3|A0A087WVC4|A0A087WVV9	NP_001362508|NP_001362509|NP_001229786|NP_001229787|NP_001362502|NP_001362503|NP_001362500|NP_001229789|NP_001362506|NP_001362507|NP_001362504|NP_001362505|NP_001362501|NP_001362498|NP_891993|NP_001362490|NP_001362491|NP_001362492|NP_001362493|NP_001287845|NP_001287844|NP_001287846|NP_002722|NP_001229791|NP_001229790|NP_001229788|NP_001362510|NP_001362494|NP_001362489|NP_997461	Q92736	-	NP_001026	-	-	-	-	-	-	Homo sapiens	Homo sapiens
268187	6262	5567	112174	111554	RP4-626J7.1	RP11-82H13.1	RYR2	PRKACB	ARVC2|ARVD2|RYR-2|RyR|VTSIP	PKA C-beta|PKACB	Co-fractionation	physical	Marx SO (2000)	PUBMED:10830164	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q92736	-	NP_001026	P22694	B7ZA00|B2RB89|B1APF9|B1APG3|A0A087WVC4|A0A087WVV9	NP_001362508|NP_001362509|NP_001229786|NP_001229787|NP_001362502|NP_001362503|NP_001362500|NP_001229789|NP_001362506|NP_001362507|NP_001362504|NP_001362505|NP_001362501|NP_001362498|NP_891993|NP_001362490|NP_001362491|NP_001362492|NP_001362493|NP_001287845|NP_001287844|NP_001287846|NP_002722|NP_001229791|NP_001229790|NP_001229788|NP_001362510|NP_001362494|NP_001362489|NP_997461	-	-	-	-	-	-	Homo sapiens	Homo sapiens
514373	5567	7141	111554	112995	RP11-82H13.1	-	PRKACB	TNP1	PKA C-beta|PKACB	TP1	Biochemical Activity	physical	Levesque D (1998)	PUBMED:9837753	9606	9606	Low Throughput	-	Phosphorylation	-	-	BIOGRID	P22694	B7ZA00|B2RB89|B1APF9|B1APG3|A0A087WVC4|A0A087WVV9	NP_001362508|NP_001362509|NP_001229786|NP_001229787|NP_001362502|NP_001362503|NP_001362500|NP_001229789|NP_001362506|NP_001362507|NP_001362504|NP_001362505|NP_001362501|NP_001362498|NP_891993|NP_001362490|NP_001362491|NP_001362492|NP_001362493|NP_001287845|NP_001287844|NP_001287846|NP_002722|NP_001229791|NP_001229790|NP_001229788|NP_001362510|NP_001362494|NP_001362489|NP_997461	P09430	Q4ZG82	NP_003275	-	-	-	-	-	-	Homo sapiens	Homo sapiens
514376	5567	7142	111554	112996	RP11-82H13.1	-	PRKACB	TNP2	PKA C-beta|PKACB	TP2	Biochemical Activity	physical	Levesque D (1998)	PUBMED:9837753	9606	9606	Low Throughput	-	Phosphorylation	-	-	BIOGRID	P22694	B7ZA00|B2RB89|B1APF9|B1APG3|A0A087WVC4|A0A087WVV9	NP_001362508|NP_001362509|NP_001229786|NP_001229787|NP_001362502|NP_001362503|NP_001362500|NP_001229789|NP_001362506|NP_001362507|NP_001362504|NP_001362505|NP_001362501|NP_001362498|NP_891993|NP_001362490|NP_001362491|NP_001362492|NP_001362493|NP_001287845|NP_001287844|NP_001287846|NP_002722|NP_001229791|NP_001229790|NP_001229788|NP_001362510|NP_001362494|NP_001362489|NP_997461	Q05952	Q4VB56	NP_005416	-	-	-	-	-	-	Homo sapiens	Homo sapiens
678522	6696	5567	112574	111554	PSEC0156	RP11-82H13.1	SPP1	PRKACB	BNSP|BSPI|ETA-1|OPN	PKA C-beta|PKACB	Two-hybrid	physical	Long P (2012)	PUBMED:22779921	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P10451	Q3LGB0|A0A024RDE6|A0A024RDJ0|B7Z351|A0A024RDE2	NP_001238759|NP_000573|NP_001035147|NP_001035149|NP_001238758	P22694	B7ZA00|B2RB89|B1APF9|B1APG3|A0A087WVC4|A0A087WVV9	NP_001362508|NP_001362509|NP_001229786|NP_001229787|NP_001362502|NP_001362503|NP_001362500|NP_001229789|NP_001362506|NP_001362507|NP_001362504|NP_001362505|NP_001362501|NP_001362498|NP_891993|NP_001362490|NP_001362491|NP_001362492|NP_001362493|NP_001287845|NP_001287844|NP_001287846|NP_002722|NP_001229791|NP_001229790|NP_001229788|NP_001362510|NP_001362494|NP_001362489|NP_997461	-	-	-	-	-	-	Homo sapiens	Homo sapiens
743138	5576	5567	111562	111554	-	RP11-82H13.1	PRKAR2A	PRKACB	PKR2|PRKAR2	PKA C-beta|PKACB	Co-fractionation	physical	Havugimana PC (2012)	PUBMED:22939629	9606	9606	High Throughput	0.85	-	Denoised score >= 0.75	-	BIOGRID	P13861	A0A024R2W3	NP_004148|NP_001308911|NP_001308918|NP_001308912	P22694	B7ZA00|B2RB89|B1APF9|B1APG3|A0A087WVC4|A0A087WVV9	NP_001362508|NP_001362509|NP_001229786|NP_001229787|NP_001362502|NP_001362503|NP_001362500|NP_001229789|NP_001362506|NP_001362507|NP_001362504|NP_001362505|NP_001362501|NP_001362498|NP_891993|NP_001362490|NP_001362491|NP_001362492|NP_001362493|NP_001287845|NP_001287844|NP_001287846|NP_002722|NP_001229791|NP_001229790|NP_001229788|NP_001362510|NP_001362494|NP_001362489|NP_997461	-	-	-	-	-	-	Homo sapiens	Homo sapiens
