#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Publication Source	Organism ID Interactor A	Organism ID Interactor B	Throughput	Score	Modification	Qualifications	Tags	Source Database	SWISS-PROT Accessions Interactor A	TREMBL Accessions Interactor A	REFSEQ Accessions Interactor A	SWISS-PROT Accessions Interactor B	TREMBL Accessions Interactor B	REFSEQ Accessions Interactor B	Ontology Term IDs	Ontology Term Names	Ontology Term Categories	Ontology Term Qualifier IDs	Ontology Term Qualifier Names	Ontology Term Types	Organism Name Interactor A	Organism Name Interactor B
269349	84164	10970	123921	116167	SC22CB-11B7.2	-	ASCC2	CKAP4	ASC1p100|p100	CLIMP-63|ERGIC-63|p63	Two-hybrid	physical	Stelzl U (2005)	PUBMED:16169070	9606	9606	High Throughput	1.0	-	-	-	BIOGRID	Q9H1I8	A0A024R1E1|A0A024R1F9	NP_001356852|NP_001356849|NP_001356873|NP_001356871|NP_001356870|NP_001356859|NP_001356858|NP_001356875|NP_001356874|NP_001356877|NP_001356876|NP_001356853|NP_001356878|NP_001356851|NP_001356850|NP_001356857|NP_001356856|NP_001356855|NP_001356854|NP_001356872|NP_001229835|NP_001356879|NP_001356866|NP_001356867|NP_001356864|NP_001356865|NP_001356862|NP_001356863|NP_001356860|NP_001356861|NP_115580|NP_001356868|NP_001356869	Q07065	A0A024RBH2	NP_006816	-	-	-	-	-	-	Homo sapiens	Homo sapiens
423799	373509	10970	131884	116167	-	-	USP50	CKAP4	-	CLIMP-63|ERGIC-63|p63	Affinity Capture-MS	physical	Sowa ME (2009)	PUBMED:19615732	9606	9606	High Throughput	3.62	-	exogenous expression of bait	-	BIOGRID	Q70EL3	-	NP_987090	Q07065	A0A024RBH2	NP_006816	BTO:0000007	HEK-293 cell	cell line	BTO:0000414	epithelial cell	-	Homo sapiens	Homo sapiens
446078	1201	10970	107612	116167	-	-	CLN3	CKAP4	BTS|JNCL	CLIMP-63|ERGIC-63|p63	Affinity Capture-MS	physical	Behrends C (2010)	PUBMED:20562859	9606	9606	High Throughput	-	-	Exogenous expression of bait	-	BIOGRID	Q13286	B4DFF3|B4DXL3|Q2TA70|A0A024QZB8|B4DMY6	NP_000077|NP_001273034|NP_001273033|NP_001273039|NP_001273038|NP_001035897	Q07065	A0A024RBH2	NP_006816	BTO:0000007	HEK-293 cell	cell line	-	-	-	Homo sapiens	Homo sapiens
635651	3068	10970	109318	116167	RP11-66D17.10-003	-	HDGF	CKAP4	HMG1L2	CLIMP-63|ERGIC-63|p63	Affinity Capture-MS	physical	Zhao J (2011)	PUBMED:21907836	9606	9606	High Throughput	-	-	proteins isolated by pull-down of the HATH domain of HDGF	-	BIOGRID	P51858	-	NP_001119522|NP_001119523|NP_001306117|NP_001306116|NP_001306115|NP_004485	Q07065	A0A024RBH2	NP_006816	-	-	-	-	-	-	Homo sapiens	Homo sapiens
664009	1994	10970	108309	116167	-	-	ELAVL1	CKAP4	ELAV1|HUR|Hua|MelG	CLIMP-63|ERGIC-63|p63	Affinity Capture-RNA	physical	Abdelmohsen K (2009)	PUBMED:19322201	9606	9606	High Throughput	-	-	-	-	BIOGRID	Q15717	-	NP_001410	Q07065	A0A024RBH2	NP_006816	BTO:0000567	HeLa cell	cell line	DOID:3702	cervical adenocarcinoma	-	Homo sapiens	Homo sapiens
665647	408	10970	106901	116167	-	-	ARRB1	CKAP4	ARB1|ARR1	CLIMP-63|ERGIC-63|p63	Affinity Capture-MS	physical	Xiao K (2007)	PUBMED:17620599	9606	9606	High Throughput	-	-	exogenous expression of bait	-	BIOGRID	P49407	B7Z1Q3	NP_004032|NP_064647	Q07065	A0A024RBH2	NP_006816	BTO:0000007	HEK-293 cell	cell line	-	-	-	Homo sapiens	Homo sapiens
670128	30011	10970	119029	116167	RP11-345L8.1	-	SH3KBP1	CKAP4	CD2BP3|CIN85|GIG10|HSB-1|HSB1|MIG18	CLIMP-63|ERGIC-63|p63	Affinity Capture-MS	physical	Havrylov S (2009)	PUBMED:19531213	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q96B97	Q5JPT6	NP_001171889|NP_114098|NP_001340819|NP_001019837|NP_001340824|NP_001340821|NP_001340820|NP_001340823|NP_001340822	Q07065	A0A024RBH2	NP_006816	-	-	-	-	-	-	Homo sapiens	Homo sapiens
686650	8452	10970	114030	116167	-	-	CUL3	CKAP4	CUL-3|PHA2E	CLIMP-63|ERGIC-63|p63	Affinity Capture-MS	physical	Bennett EJ (2010)	PUBMED:21145461	9606	9606	High Throughput	-	-	All data was filtered to a 1% false discovery rate (peptide level) prior to analysis using CompPASS to identify high confidence candidate interacting proteins|TAP-tagged Cul3|exogenous expression of bait	-	BIOGRID	Q13618	B7Z600|A0A024R475	NP_001244127|NP_001244126|NP_003581	Q07065	A0A024RBH2	NP_006816	BTO:0002181	HEK-293T cell	cell line	-	-	-	Homo sapiens	Homo sapiens
689379	10987	10970	116183	116167	-	-	COPS5	CKAP4	CSN5|JAB1|MOV-34|SGN5	CLIMP-63|ERGIC-63|p63	Affinity Capture-MS	physical	Bennett EJ (2010)	PUBMED:21145461	9606	9606	High Throughput	-	-	All data was filtered to a 1% false discovery rate (peptide level) prior to analysis using CompPASS to identify high confidence candidate interacting proteins|TAP-tagged COPS5|exogenous expression of bait	-	BIOGRID	Q92905	A0A024R7W9	NP_006828	Q07065	A0A024RBH2	NP_006816	BTO:0002181	HEK-293T cell	cell line	-	-	-	Homo sapiens	Homo sapiens
809296	1894	10970	108223	116167	-	-	ECT2	CKAP4	ARHGEF31	CLIMP-63|ERGIC-63|p63	Affinity Capture-MS	physical	Woods NT (2012)	PUBMED:22990118	9606	9606	High Throughput	-	-	-	-	BIOGRID	Q9H8V3	-	NP_001245245|NP_001245244|NP_001336026|NP_001336027|NP_001336033|NP_001336032|NP_001336031|NP_001336023|NP_001336024|NP_001336030|NP_001336028|NP_001336029|NP_060568|NP_001336025	Q07065	A0A024RBH2	NP_006816	-	-	-	-	-	-	Homo sapiens	Homo sapiens
