#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Publication Source	Organism ID Interactor A	Organism ID Interactor B	Throughput	Score	Modification	Qualifications	Tags	Source Database	SWISS-PROT Accessions Interactor A	TREMBL Accessions Interactor A	REFSEQ Accessions Interactor A	SWISS-PROT Accessions Interactor B	TREMBL Accessions Interactor B	REFSEQ Accessions Interactor B	Ontology Term IDs	Ontology Term Names	Ontology Term Categories	Ontology Term Qualifier IDs	Ontology Term Qualifier Names	Ontology Term Types	Organism Name Interactor A	Organism Name Interactor B
244293	841	8795	107291	114323	-	UNQ160/PRO186	CASP8	TNFRSF10B	ALPS2B|CAP4|Casp-8|FLICE|MACH|MCH5	CD262|DR5|KILLER|KILLER/DR5|TRAIL-R2|TRAILR2|TRICK2|TRICK2A|TRICK2B|TRICKB|ZTNFR9	Co-purification	physical	Gajate C (2005)	PUBMED:15659383	9606	9606	Low Throughput	-	-	Fas, tumor necrosis factor-receptor 1, and tumor necrosis factor-related apoptosis-inducing ligand receptor 2/death receptor 5 were clustered into lipid rafts in leukemic Jurkat cells following Aplidin treatment;Fas ligand (FasL) as well as downstream sig	-	BIOGRID	Q14790	A0A024R3Z8	NP_203520|NP_203519|NP_203522|NP_001073593|NP_001073594|NP_001219	O14763	Q7Z2I8	NP_671716|NP_003833	-	-	-	-	-	-	Homo sapiens	Homo sapiens
244309	841	8772	107291	114302	-	GIG3	CASP8	FADD	ALPS2B|CAP4|Casp-8|FLICE|MACH|MCH5	MORT1	Co-purification	physical	Gajate C (2005)	PUBMED:15659383	9606	9606	Low Throughput	-	-	Fas, tumor necrosis factor-receptor 1, and tumor necrosis factor-related apoptosis-inducing ligand receptor 2/death receptor 5 were clustered into lipid rafts in leukemic Jurkat cells following Aplidin treatment;Fas ligand (FasL) as well as downstream sig	-	BIOGRID	Q14790	A0A024R3Z8	NP_203520|NP_203519|NP_203522|NP_001073593|NP_001073594|NP_001219	Q13158	-	NP_003815	-	-	-	-	-	-	Homo sapiens	Homo sapiens
244317	841	356	107291	106852	-	-	CASP8	FASLG	ALPS2B|CAP4|Casp-8|FLICE|MACH|MCH5	ALPS1B|APT1LG1|APTL|CD178|CD95-L|CD95L|FASL|TNFSF6	Co-purification	physical	Gajate C (2005)	PUBMED:15659383	9606	9606	Low Throughput	-	-	Fas, tumor necrosis factor-receptor 1, and tumor necrosis factor-related apoptosis-inducing ligand receptor 2/death receptor 5 were clustered into lipid rafts in leukemic Jurkat cells following Aplidin treatment;Fas ligand (FasL) as well as downstream sig	-	BIOGRID	Q14790	A0A024R3Z8	NP_203520|NP_203519|NP_203522|NP_001073593|NP_001073594|NP_001219	P48023	Q53ZZ1	NP_000630|NP_001289675	-	-	-	-	-	-	Homo sapiens	Homo sapiens
244336	637	841	107106	107291	-	-	BID	CASP8	FP497	ALPS2B|CAP4|Casp-8|FLICE|MACH|MCH5	Co-purification	physical	Gajate C (2005)	PUBMED:15659383	9606	9606	Low Throughput	-	-	Fas, tumor necrosis factor-receptor 1, and tumor necrosis factor-related apoptosis-inducing ligand receptor 2/death receptor 5 were clustered into lipid rafts in leukemic Jurkat cells following Aplidin treatment;Fas ligand (FasL) as well as downstream sig	-	BIOGRID	P55957	B2ZP79|A8ASI8|B3KT21	NP_001231499|NP_001231498|NP_001231496|NP_001231501|NP_001187|NP_932071|NP_932070	Q14790	A0A024R3Z8	NP_203520|NP_203519|NP_203522|NP_001073593|NP_001073594|NP_001219	-	-	-	-	-	-	Homo sapiens	Homo sapiens
244337	7430	841	113271	107291	-	-	EZR	CASP8	CVIL|CVL|HEL-S-105|VIL2	ALPS2B|CAP4|Casp-8|FLICE|MACH|MCH5	Co-purification	physical	Gajate C (2005)	PUBMED:15659383	9606	9606	Low Throughput	-	-	Fas, tumor necrosis factor-receptor 1, and tumor necrosis factor-related apoptosis-inducing ligand receptor 2/death receptor 5 were clustered into lipid rafts in leukemic Jurkat cells following Aplidin treatment;Fas ligand (FasL) as well as downstream sig	-	BIOGRID	P15311	-	NP_003370|NP_001104547	Q14790	A0A024R3Z8	NP_203520|NP_203519|NP_203522|NP_001073593|NP_001073594|NP_001219	-	-	-	-	-	-	Homo sapiens	Homo sapiens
244338	355	841	106851	107291	RP11-399O19.7	-	FAS	CASP8	ALPS1A|APO-1|APT1|CD95|FAS1|FASTM|TNFRSF6	ALPS2B|CAP4|Casp-8|FLICE|MACH|MCH5	Co-purification	physical	Gajate C (2005)	PUBMED:15659383	9606	9606	Low Throughput	-	-	Fas, tumor necrosis factor-receptor 1, and tumor necrosis factor-related apoptosis-inducing ligand receptor 2/death receptor 5 were clustered into lipid rafts in leukemic Jurkat cells following Aplidin treatment;Fas ligand (FasL) as well as downstream sig	-	BIOGRID	P25445	Q59FU8	NP_690610|NP_690611|NP_000034	Q14790	A0A024R3Z8	NP_203520|NP_203519|NP_203522|NP_001073593|NP_001073594|NP_001219	-	-	-	-	-	-	Homo sapiens	Homo sapiens
244339	5599	841	111585	107291	-	-	MAPK8	CASP8	JNK|JNK-46|JNK1|JNK1A2|JNK21B1/2|PRKM8|SAPK1|SAPK1c	ALPS2B|CAP4|Casp-8|FLICE|MACH|MCH5	Co-purification	physical	Gajate C (2005)	PUBMED:15659383	9606	9606	Low Throughput	-	-	Fas, tumor necrosis factor-receptor 1, and tumor necrosis factor-related apoptosis-inducing ligand receptor 2/death receptor 5 were clustered into lipid rafts in leukemic Jurkat cells following Aplidin treatment;Fas ligand (FasL) as well as downstream sig	-	BIOGRID	P45983	A1L4K2	NP_001310257|NP_001310256|NP_001310255|NP_001310254|NP_001310253|NP_001310252|NP_001310251|NP_001310250|NP_001265476|NP_001265477|NP_001310249|NP_001310259|NP_001310258|NP_620637|NP_620634|NP_001310260|NP_001310231|NP_002741	Q14790	A0A024R3Z8	NP_203520|NP_203519|NP_203522|NP_001073593|NP_001073594|NP_001219	-	-	-	-	-	-	Homo sapiens	Homo sapiens
244340	4478	841	110584	107291	-	-	MSN	CASP8	HEL70	ALPS2B|CAP4|Casp-8|FLICE|MACH|MCH5	Co-purification	physical	Gajate C (2005)	PUBMED:15659383	9606	9606	Low Throughput	-	-	Fas, tumor necrosis factor-receptor 1, and tumor necrosis factor-related apoptosis-inducing ligand receptor 2/death receptor 5 were clustered into lipid rafts in leukemic Jurkat cells following Aplidin treatment;Fas ligand (FasL) as well as downstream sig	-	BIOGRID	P26038	V9HWC0	NP_002435	Q14790	A0A024R3Z8	NP_203520|NP_203519|NP_203522|NP_001073593|NP_001073594|NP_001219	-	-	-	-	-	-	Homo sapiens	Homo sapiens
244341	843	841	107293	107291	-	-	CASP10	CASP8	ALPS2|FLICE2|MCH4	ALPS2B|CAP4|Casp-8|FLICE|MACH|MCH5	Co-purification	physical	Gajate C (2005)	PUBMED:15659383	9606	9606	Low Throughput	-	-	Fas, tumor necrosis factor-receptor 1, and tumor necrosis factor-related apoptosis-inducing ligand receptor 2/death receptor 5 were clustered into lipid rafts in leukemic Jurkat cells following Aplidin treatment;Fas ligand (FasL) as well as downstream sig	-	BIOGRID	Q92851	-	NP_116756|NP_001221|NP_116758|NP_116759|NP_001193453|NP_001193471	Q14790	A0A024R3Z8	NP_203520|NP_203519|NP_203522|NP_001073593|NP_001073594|NP_001219	-	-	-	-	-	-	Homo sapiens	Homo sapiens
244342	387	841	106880	107291	-	-	RHOA	CASP8	ARH12|ARHA|RHO12|RHOH12	ALPS2B|CAP4|Casp-8|FLICE|MACH|MCH5	Co-purification	physical	Gajate C (2005)	PUBMED:15659383	9606	9606	Low Throughput	-	-	Fas, tumor necrosis factor-receptor 1, and tumor necrosis factor-related apoptosis-inducing ligand receptor 2/death receptor 5 were clustered into lipid rafts in leukemic Jurkat cells following Aplidin treatment;Fas ligand (FasL) as well as downstream sig	-	BIOGRID	P61586	Q9BVT0|A0A024R324	NP_001300872|NP_001300873|NP_001300870|NP_001655|NP_001300876|NP_001300874|NP_001300875	Q14790	A0A024R3Z8	NP_203520|NP_203519|NP_203522|NP_001073593|NP_001073594|NP_001219	-	-	-	-	-	-	Homo sapiens	Homo sapiens
