#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Publication Source	Organism ID Interactor A	Organism ID Interactor B	Throughput	Score	Modification	Qualifications	Tags	Source Database	SWISS-PROT Accessions Interactor A	TREMBL Accessions Interactor A	REFSEQ Accessions Interactor A	SWISS-PROT Accessions Interactor B	TREMBL Accessions Interactor B	REFSEQ Accessions Interactor B	Ontology Term IDs	Ontology Term Names	Ontology Term Categories	Ontology Term Qualifier IDs	Ontology Term Qualifier Names	Ontology Term Types	Organism Name Interactor A	Organism Name Interactor B
121632	2107	9817	108408	115156	-	-	ETF1	KEAP1	D5S1995|ERF|ERF1|RF1|SUP45L1|TB3-1	INrf2|KLHL19	Two-hybrid	physical	Rual JF (2005)	PUBMED:16189514	9606	9606	High Throughput	-	-	-	-	BIOGRID	P62495	B7Z7P8	NP_001351089|NP_001269114|NP_001243231|NP_001278904|NP_001278903|NP_004721	Q14145	A0A024R7C0	NP_036421|NP_987096	-	-	-	-	-	-	Homo sapiens	Homo sapiens
253760	9817	4780	115156	110852	-	-	KEAP1	NFE2L2	INrf2|KLHL19	NRF2	Reconstituted Complex	physical	Cullinan SB (2003)	PUBMED:14517290	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q14145	A0A024R7C0	NP_036421|NP_987096	Q16236	-	NP_006155|NP_001138884|NP_001138885|NP_001300829|NP_001300830|NP_001300831	-	-	-	-	-	-	Homo sapiens	Homo sapiens
280133	4647	9817	110731	115156	-	-	MYO7A	KEAP1	DFNA11|DFNB2|MYOVIIA|MYU7A|NSRD2|USH1B	INrf2|KLHL19	Two-hybrid	physical	Velichkova M (2002)	PUBMED:11921171	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q13402	B9A012	NP_000251|NP_001120652|NP_001120651	Q14145	A0A024R7C0	NP_036421|NP_987096	-	-	-	-	-	-	Homo sapiens	Homo sapiens
327569	9817	4780	115156	110852	-	-	KEAP1	NFE2L2	INrf2|KLHL19	NRF2	Affinity Capture-Western	physical	Shibata T (2008)	PUBMED:18757741	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q14145	A0A024R7C0	NP_036421|NP_987096	Q16236	-	NP_006155|NP_001138884|NP_001138885|NP_001300829|NP_001300830|NP_001300831	-	-	-	-	-	-	Homo sapiens	Homo sapiens
329724	9817	4780	115156	110852	-	-	KEAP1	NFE2L2	INrf2|KLHL19	NRF2	Affinity Capture-Western	physical	Wang XJ (2008)	PUBMED:18417180	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q14145	A0A024R7C0	NP_036421|NP_987096	Q16236	-	NP_006155|NP_001138884|NP_001138885|NP_001300829|NP_001300830|NP_001300831	-	-	-	-	-	-	Homo sapiens	Homo sapiens
329725	9817	8452	115156	114030	-	-	KEAP1	CUL3	INrf2|KLHL19	CUL-3|PHA2E	Affinity Capture-Western	physical	Wang XJ (2008)	PUBMED:18417180	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q14145	A0A024R7C0	NP_036421|NP_987096	Q13618	B7Z600|A0A024R475	NP_001244127|NP_001244126|NP_003581	-	-	-	-	-	-	Homo sapiens	Homo sapiens
330463	8452	9817	114030	115156	-	-	CUL3	KEAP1	CUL-3|PHA2E	INrf2|KLHL19	Affinity Capture-Western	physical	Rachakonda G (2008)	PUBMED:18251510	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q13618	B7Z600|A0A024R475	NP_001244127|NP_001244126|NP_003581	Q14145	A0A024R7C0	NP_036421|NP_987096	-	-	-	-	-	-	Homo sapiens	Homo sapiens
330464	8452	9817	114030	115156	-	-	CUL3	KEAP1	CUL-3|PHA2E	INrf2|KLHL19	Reconstituted Complex	physical	Rachakonda G (2008)	PUBMED:18251510	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q13618	B7Z600|A0A024R475	NP_001244127|NP_001244126|NP_003581	Q14145	A0A024R7C0	NP_036421|NP_987096	-	-	-	-	-	-	Homo sapiens	Homo sapiens
338344	9817	4780	115156	110852	-	-	KEAP1	NFE2L2	INrf2|KLHL19	NRF2	Affinity Capture-Western	physical	Nioi P (2007)	PUBMED:17822677	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q14145	A0A024R7C0	NP_036421|NP_987096	Q16236	-	NP_006155|NP_001138884|NP_001138885|NP_001300829|NP_001300830|NP_001300831	-	-	-	-	-	-	Homo sapiens	Homo sapiens
338346	9817	8452	115156	114030	-	-	KEAP1	CUL3	INrf2|KLHL19	CUL-3|PHA2E	Affinity Capture-Western	physical	Nioi P (2007)	PUBMED:17822677	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q14145	A0A024R7C0	NP_036421|NP_987096	Q13618	B7Z600|A0A024R475	NP_001244127|NP_001244126|NP_003581	-	-	-	-	-	-	Homo sapiens	Homo sapiens
354201	139285	9817	126556	115156	RP11-403E24.2	-	AMER1	KEAP1	FAM123B|OSCS|WTX	INrf2|KLHL19	Reconstituted Complex	physical	Major MB (2007)	PUBMED:17510365	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q5JTC6	-	NP_689637	Q14145	A0A024R7C0	NP_036421|NP_987096	-	-	-	-	-	-	Homo sapiens	Homo sapiens
422931	9817	372	115156	106867	-	-	KEAP1	ARCN1	INrf2|KLHL19	COPD	Affinity Capture-MS	physical	Sowa ME (2009)	PUBMED:19615732	9606	9606	High Throughput	2.36	-	exogenous expression of bait	-	BIOGRID	Q14145	A0A024R7C0	NP_036421|NP_987096	P48444	B0YIW5	NP_001646|NP_001135753	BTO:0000007	HEK-293 cell	cell line	BTO:0000414	epithelial cell	-	Homo sapiens	Homo sapiens
422939	9817	582	115156	107058	-	-	KEAP1	BBS1	INrf2|KLHL19	BBS2L2	Affinity Capture-MS	physical	Sowa ME (2009)	PUBMED:19615732	9606	9606	High Throughput	13.06	-	exogenous expression of bait	-	BIOGRID	Q14145	A0A024R7C0	NP_036421|NP_987096	Q8NFJ9	-	NP_078925	BTO:0000007	HEK-293 cell	cell line	BTO:0000414	epithelial cell	-	Homo sapiens	Homo sapiens
423042	9817	2107	115156	108408	-	-	KEAP1	ETF1	INrf2|KLHL19	D5S1995|ERF|ERF1|RF1|SUP45L1|TB3-1	Affinity Capture-MS	physical	Sowa ME (2009)	PUBMED:19615732	9606	9606	High Throughput	5.0	-	exogenous expression of bait	-	BIOGRID	Q14145	A0A024R7C0	NP_036421|NP_987096	P62495	B7Z7P8	NP_001351089|NP_001269114|NP_001243231|NP_001278904|NP_001278903|NP_004721	BTO:0000007	HEK-293 cell	cell line	BTO:0000414	epithelial cell	-	Homo sapiens	Homo sapiens
423069	9817	2631	115156	108901	-	-	KEAP1	GBAS	INrf2|KLHL19	NIPSNAP2	Affinity Capture-MS	physical	Sowa ME (2009)	PUBMED:19615732	9606	9606	High Throughput	4.56	-	exogenous expression of bait	-	BIOGRID	Q14145	A0A024R7C0	NP_036421|NP_987096	O75323	-	NP_001189398|NP_001474	BTO:0000007	HEK-293 cell	cell line	BTO:0000414	epithelial cell	-	Homo sapiens	Homo sapiens
